Test URL (url),Report Suite (rs),Status Code (status),Page Name (pageName),Site Section (ch),Server (server),Hit Type (v1),Timestamp (v2),Pageview ID (v3),Adobe Analytics ID (v5),Google Analytics ID (v6),Page Domain (v14),Page Path (v15),Page Height (v19),Page Percent Viewed (v20),Procore ID (v35),Procore User Type (v36),Tab Focus Count (v41),Form ID (v50),Form Inputs (v51),Form Input Count (v52),form Input Selected Count (v53),Chat Online (v55),Chat Team Available (v56),Chat Visible (v57),Chat Covnersation ID (v58),Chat Playbook ID (v59),Chat Campaign ID (v60),Form Errors (c14),Form Inputs (c15),Form Interaction Path (c16),Redirect Timing (event1),App cache Timing (event2),DNS Timing (event3),TCP Timing (event4),Request Timing (event5),Response Timing (event6),Processing Timing (event7),On Load Timing (event8),Page Load Timing (event9),Page Scrolled 10% (event10),Page Scrolled 25% (event11),Page Scrolled 50% (event12),Page Scrolled 75% (event13),Page Scrolled 95% (event14),Page Scrolled 100% (event15),Tab Click (event17),Form Start (event20),Form Complete (event21),Form Error Count (event22),Form Selected Count (event23),Sidebar Opened (event34),Sidebar Closed (event35),Playbook Clicked (event36),Playbook Dismissed (event37),Conversation Started (event38),Message Sent (event39),Message Receieved (event40),Email Captured (event41),Phone Captured (event42),Meeting Requested (event43),Meeting Booked (event44)
https://stg.procore.com/demo,procoredev,200,stg.procore.com|US|Marketing|Demo,Marketing|Demo,stg.procore.com,Before Unload,2019-07-26T16:21:08.728-07:00,8056353424,27754165577181442523013440291459009880,562536901.1564183227,stg.procore.com,/demo,2749,100,testid-1234567890,Customer/Collaborator,,,,,,,,,,,,,,,1,1,1,1,273,77,863,3,1152,1,1,1,1,1,1,,,,,,,,,,,,,,,,
https://stg.procore.com/en-au,procoredev,200,stg.procore.com|AU|Home|En Au,Home|En Au,stg.procore.com,Before Unload,2019-07-26T16:21:11.387-07:00,7469008207,27754165577181442523013440291459009880,562536901.1564183227,stg.procore.com,/en-au,7016,100,testid-1234567890,Customer/Collaborator,,,,,,,,,,,,,,,1,1,1,1,529,72,1732,4,2278,1,1,1,1,1,1,,,,,,,,,,,,,,,,
https://stg.procore.com/en-au/about,procoredev,200,stg.procore.com|AU|Company|About,Company|About,stg.procore.com,Before Unload,2019-07-26T16:21:13.793-07:00,8157500709,27754165577181442523013440291459009880,562536901.1564183227,stg.procore.com,/en-au/about,7145,100,testid-1234567890,Customer/Collaborator,,,,,,,,,,,,,,,1,1,1,1,128,76,1479,6,1640,1,1,1,1,1,1,,,,,,,,,,,,,,,,
https://stg.procore.com/en-au/blueprint,procoredev,200,stg.procore.com|AU|Resource|Blueprint,Resource|Blueprint,stg.procore.com,Before Unload,2019-07-26T16:21:18.196-07:00,1751676599,27754165577181442523013440291459009880,562536901.1564183227,stg.procore.com,/en-au/blueprint,7599,100,testid-1234567890,Customer/Collaborator,,,,,,Online,Available,Visible,,,,,,,1,1,1,1,390,1,3055,10,3496,1,1,1,1,1,1,,,,,,,,,,,,,,,,
https://stg.procore.com/en-au/buildersclub,procoredev,200,stg.procore.com|AU|Resource|Builders Club,Resource|Builders Club,stg.procore.com,Before Unload,2019-07-26T16:21:21.140-07:00,2197520630,27754165577181442523013440291459009880,562536901.1564183227,stg.procore.com,/en-au/buildersclub,3973,100,testid-1234567890,Customer/Collaborator,,,,,,Online,Available,Visible,,,,,,,1,1,1,1,900,1,1060,7,1984,1,1,1,1,1,1,,,,,,,,,,,,,,,,
https://stg.procore.com/en-au/certification,procoredev,200,stg.procore.com|AU|Resource|Certification,Resource|Certification,stg.procore.com,Before Unload,2019-07-26T16:21:24.386-07:00,2400024350,27754165577181442523013440291459009880,562536901.1564183227,stg.procore.com,/en-au/certification,6189,100,testid-1234567890,Customer/Collaborator,,,,,,,,,,,,,,,1,1,1,1,450,2,2277,4,2774,1,1,1,1,1,1,,,,,,,,,,,,,,,,
https://stg.procore.com/en-au/construction-financials,procoredev,200,stg.procore.com|AU|Product|Construction Financials|Overview,Product|Construction Financials|Overview,stg.procore.com,Before Unload,2019-07-26T16:21:26.674-07:00,2481591557,27754165577181442523013440291459009880,562536901.1564183227,stg.procore.com,/en-au/construction-financials,5815,100,testid-1234567890,Customer/Collaborator,,,,,,,,,,,,,,,2,1,1,1,136,1,1615,4,1822,1,1,1,1,1,1,,,,,,,,,,,,,,,,
https://stg.procore.com/en-au/construction-financials/accounting-integrations,procoredev,200,stg.procore.com|AU|Product|Construction Financials|Accounting Integrations,Product|Construction Financials|Accounting Integrations,stg.procore.com,Before Unload,2019-07-26T16:21:29.186-07:00,2755725253,27754165577181442523013440291459009880,562536901.1564183227,stg.procore.com,/en-au/construction-financials/accounting-integrations,9479,100,testid-1234567890,Customer/Collaborator,,,,,,,,,,,,,,,2,1,1,1,281,74,1748,4,2105,1,1,1,1,1,1,,,,,,,,,,,,,,,,
https://stg.procore.com/en-au/continuing-education,procoredev,200,stg.procore.com|AU|Resource|Continuing Education,Resource|Continuing Education,stg.procore.com,Before Unload,2019-07-26T16:21:31.53-07:00,9220902848,27754165577181442523013440291459009880,562536901.1564183227,stg.procore.com,/en-au/continuing-education,3941,100,testid-1234567890,Customer/Collaborator,,,,,,,,,,,,,,,1,1,1,1,258,1,1070,6,1379,1,1,1,1,1,1,,,,,,,,,,,,,,,,
https://stg.procore.com/en-au/demo,procoredev,200,stg.procore.com|AU|Marketing|Demo,Marketing|Demo,stg.procore.com,Before Unload,2019-07-26T16:21:33.473-07:00,5905060655,27754165577181442523013440291459009880,562536901.1564183227,stg.procore.com,/en-au/demo,2961,100,testid-1234567890,Customer/Collaborator,,,,,,,,,,,,,,,1,1,1,1,275,1,1677,4,2009,1,1,1,1,1,1,,,,,,,,,,,,,,,,
