Test URL (url),Report Suite (rs),Status Code (status),Page Name (pageName),Site Section (ch),Server (server),Campaign (v0),Hit Type (v1),Timestamp (v2),Pageview ID (v3),Library Version (v4),Adobe Analytics ID (v5),Google Analytics ID (v6),Site Country (v7),Previous Page Name (v8),Previous Page URL (v9),Page Type (v10),Page Protocol (v13),Page Domain (v14),Page Path (v15),Page Query String (v16),Page Fragment (v17),Page Document Title (v18),Personalization Variants (v32),Procore ID (v35),Procore User Type (v36),Navigation Type (v37),Tab ID (v38),Tab Type (v39),Tab Count (v40),Page Name (v61),Page Document Title (c2),Personlization Variant (c4),Navigation Type (c7),Tab ID (c8),Tab Type (c9),Redirect Count (event16)
https://stg.procore.com/,procoredev,200,stg.procore.com|US|Home,Home,stg.procore.com,|||||,Pageview,2019-07-26T18:31:49.468-07:00,1837359654,2.15.0|4.4.0|staging|25.6.0|2019-07-27T01:21:56Z,,,US,,,Home,https:,stg.procore.com,/,,,Procore – World's Leading Construction Management Software,Default,,Prospect,NAVIGATE,f702444d-4d38-4b82-95d4-6f041f0dc76b,New,1,stg.procore.com|US|Home,Procore – World's Leading Construction Management Software,Default,NAVIGATE,f702444d-4d38-4b82-95d4-6f041f0dc76b,New,
https://stg.procore.com/safety-qualified,procoredev,200,stg.procore.com|US|Resource|Safety Qualified,Resource|Safety Qualified,stg.procore.com,|||||,Pageview,2019-07-26T18:31:53.173-07:00,6564965608,2.15.0|4.4.0|staging|25.6.0|2019-07-27T01:21:56Z,27085329242798193013412009855083833723,178533097.1564191110,US,stg.procore.com|US|Home,stg.procore.com/,Default Page,https:,stg.procore.com,/safety-qualified,,,Get Procore Safety Qualified,Default,testid-1234567890,Customer/Collaborator,NAVIGATE,f702444d-4d38-4b82-95d4-6f041f0dc76b,Existing,1,stg.procore.com|US|Resource|Safety Qualified,Get Procore Safety Qualified,Default,NAVIGATE,f702444d-4d38-4b82-95d4-6f041f0dc76b,Existing,
https://stg.procore.com/subcontractors,procoredev,200,stg.procore.com|US|Solution|Subcontractors,Solution|Subcontractors,stg.procore.com,|||||,Pageview,2019-07-26T18:31:55.454-07:00,9691730871,2.15.0|4.4.0|staging|25.6.0|2019-07-27T01:21:56Z,27085329242798193013412009855083833723,178533097.1564191110,US,stg.procore.com|US|Resource|Safety Qualified,stg.procore.com/safety-qualified,Default Page,https:,stg.procore.com,/subcontractors,,,Procore is for Subcontractors | Construction Management Software,Default,testid-1234567890,Customer/Collaborator,NAVIGATE,f702444d-4d38-4b82-95d4-6f041f0dc76b,Existing,1,stg.procore.com|US|Solution|Subcontractors,Procore is for Subcontractors | Construction Management Software,Default,NAVIGATE,f702444d-4d38-4b82-95d4-6f041f0dc76b,Existing,
https://stg.procore.com/subs-demo,procoredev,200,stg.procore.com|US|Marketing|Subs Demo,Marketing|Subs Demo,stg.procore.com,|||||,Pageview,2019-07-26T18:31:57.819-07:00,5281562254,2.15.0|4.4.0|staging|25.6.0|2019-07-27T01:21:56Z,27085329242798193013412009855083833723,178533097.1564191110,US,stg.procore.com|US|Solution|Subcontractors,stg.procore.com/subcontractors,Demo Page,https:,stg.procore.com,/subs-demo,,,Request a Demo | Procore,Default,testid-1234567890,Customer/Collaborator,NAVIGATE,f702444d-4d38-4b82-95d4-6f041f0dc76b,Existing,1,stg.procore.com|US|Marketing|Subs Demo,Request a Demo | Procore,Default,NAVIGATE,f702444d-4d38-4b82-95d4-6f041f0dc76b,Existing,
https://stg.procore.com/tour,procoredev,200,stg.procore.com|US|Marketing|Tour,Marketing|Tour,stg.procore.com,|||||,Pageview,2019-07-26T18:31:59.774-07:00,5861103321,2.15.0|4.4.0|staging|25.6.0|2019-07-27T01:21:56Z,27085329242798193013412009855083833723,178533097.1564191110,US,,,Tour,https:,stg.procore.com,/tour,,,Get to know Procore | Guided Tour,Default,testid-1234567890,Customer/Collaborator,NAVIGATE,f702444d-4d38-4b82-95d4-6f041f0dc76b,Existing,1,stg.procore.com|US|Marketing|Tour,Get to know Procore | Guided Tour,Default,NAVIGATE,f702444d-4d38-4b82-95d4-6f041f0dc76b,Existing,
https://stg.procore.com/webinars,procoredev,200,stg.procore.com|US|Resource|Webinars|Overview,Resource|Webinars|Overview,stg.procore.com,|||||,Pageview,2019-07-26T18:32:01.634-07:00,5289014799,2.15.0|4.4.0|staging|25.6.0|2019-07-27T01:21:56Z,27085329242798193013412009855083833723,178533097.1564191110,US,stg.procore.com|US|Marketing|Tour,stg.procore.com/tour,Webinars,https:,stg.procore.com,/webinars,,,Construction Webinars – Register for Free | Procore,Default,testid-1234567890,Customer/Collaborator,NAVIGATE,f702444d-4d38-4b82-95d4-6f041f0dc76b,Existing,1,stg.procore.com|US|Resource|Webinars|Overview,Construction Webinars – Register for Free | Procore,Default,NAVIGATE,f702444d-4d38-4b82-95d4-6f041f0dc76b,Existing,
https://stg.procore.com/workshops,procoredev,200,stg.procore.com|US|Event|Workshops,Event|Workshops,stg.procore.com,|||||,Pageview,2019-07-26T18:32:03.761-07:00,8128761896,2.15.0|4.4.0|staging|25.6.0|2019-07-27T01:21:56Z,27085329242798193013412009855083833723,178533097.1564191110,US,stg.procore.com|US|Resource|Webinars|Overview,stg.procore.com/webinars,Event,https:,stg.procore.com,/workshops,,,Attend One of Procore's Impact Series Events,Default,testid-1234567890,Customer/Collaborator,NAVIGATE,f702444d-4d38-4b82-95d4-6f041f0dc76b,Existing,1,stg.procore.com|US|Event|Workshops,Attend One of Procore's Impact Series Events,Default,NAVIGATE,f702444d-4d38-4b82-95d4-6f041f0dc76b,Existing,
