Test URL (url),Report Suite (rs),Status Code (status),Page Name (pageName),Site Section (ch),Server (server),Hit Type (v1),Timestamp (v2),Pageview ID (v3),Adobe Analytics ID (v5),Google Analytics ID (v6),Page Domain (v14),Page Path (v15),Page Height (v19),Page Percent Viewed (v20),Procore ID (v35),Procore User Type (v36),Tab Focus Count (v41),Form ID (v50),Form Inputs (v51),Form Input Count (v52),form Input Selected Count (v53),Chat Online (v55),Chat Team Available (v56),Chat Visible (v57),Chat Covnersation ID (v58),Chat Playbook ID (v59),Chat Campaign ID (v60),Form Errors (c14),Form Inputs (c15),Form Interaction Path (c16),Redirect Timing (event1),App cache Timing (event2),DNS Timing (event3),TCP Timing (event4),Request Timing (event5),Response Timing (event6),Processing Timing (event7),On Load Timing (event8),Page Load Timing (event9),Page Scrolled 10% (event10),Page Scrolled 25% (event11),Page Scrolled 50% (event12),Page Scrolled 75% (event13),Page Scrolled 95% (event14),Page Scrolled 100% (event15),Tab Click (event17),Form Start (event20),Form Complete (event21),Form Error Count (event22),Form Selected Count (event23),Sidebar Opened (event34),Sidebar Closed (event35),Playbook Clicked (event36),Playbook Dismissed (event37),Conversation Started (event38),Message Sent (event39),Message Receieved (event40),Email Captured (event41),Phone Captured (event42),Meeting Requested (event43),Meeting Booked (event44)
https://stg.procore.com/,procoredev,200,stg.procore.com|US|Home,Home,stg.procore.com,Before Unload,2019-07-26T14:00:42.364-07:00,2565055422,51293310675883813213324039542430751592,1876985293.1564174833,stg.procore.com,/,7690,100,testid-1234567890,Customer/Collaborator,,,,,,Online,Available,Visible,933707007,417128,456914,,,,6,1,1,1,575,59,2496,15,3104,1,1,1,1,1,1,,,,,,1,1,1,,,1,4,,,,
https://stg.procore.com/?test=query,procoredev,200,stg.procore.com|US|Home,Home,stg.procore.com,Before Unload,2019-07-26T14:00:44.898-07:00,6201733456,51293310675883813213324039542430751592,1876985293.1564174833,stg.procore.com,/,7680,100,testid-1234567890,Customer/Collaborator,,,,,,Online,Available,Visible,,,,,,,2,1,1,1,527,80,971,10,1527,1,1,1,1,1,1,,,,,,,,,,,,,,,,
https://stg.procore.com/?test=query-with-frag,procoredev,200,stg.procore.com|US|Home,Home,stg.procore.com,Before Unload,2019-07-26T14:00:47.907-07:00,1752590895,51293310675883813213324039542430751592,1876985293.1564174833,stg.procore.com,/,7680,100,testid-1234567890,Customer/Collaborator,,,,,,Online,Available,Visible,,,,,,,1,1,1,1,493,83,1727,8,2242,1,1,1,1,1,1,,,,,,,,,,,,,,,,
https://stg.procore.com/?utm_medium=Social&utm_source=LinkedIn&utm_campaign=BRD&utm_term=Organic&utm_content=Jobsite_Constructions-up-and-coming-tech,procoredev,200,stg.procore.com|US|Home,Home,stg.procore.com,Before Unload,2019-07-26T14:00:50.708-07:00,5640041783,51293310675883813213324039542430751592,1876985293.1564174833,stg.procore.com,/,7680,100,testid-1234567890,Customer/Collaborator,,,,,,Online,Available,Visible,,,,,,,1,1,1,1,582,126,1098,10,1712,1,1,1,1,1,1,,,,,,,,,,,,,,,,
https://stg.procore.com/about,procoredev,200,stg.procore.com|US|Company|About,Company|About,stg.procore.com,Before Unload,2019-07-26T14:00:52.885-07:00,7303412741,51293310675883813213324039542430751592,1876985293.1564174833,stg.procore.com,/about,7198,100,testid-1234567890,Customer/Collaborator,,,,,,Online,Available,Visible,,,,,,,2,1,1,1,291,78,866,9,1183,1,1,1,1,1,1,,,,,,,,,,,,,,,,
https://stg.procore.com/blueprint,procoredev,200,stg.procore.com|US|Resource|Blueprint,Resource|Blueprint,stg.procore.com,Before Unload,2019-07-26T14:00:55.196-07:00,9776044487,51293310675883813213324039542430751592,1876985293.1564174833,stg.procore.com,/blueprint,7599,100,testid-1234567890,Customer/Collaborator,,,,,,Online,Available,Visible,,,,,,,1,1,1,1,401,72,881,8,1305,1,1,1,1,1,1,,,,,,,,,,,,,,,,
https://stg.procore.com/buildersclub,procoredev,200,stg.procore.com|US|Resource|Builders Club,Resource|Builders Club,stg.procore.com,Before Unload,2019-07-26T14:00:57.451-07:00,1472006669,51293310675883813213324039542430751592,1876985293.1564174833,stg.procore.com,/buildersclub,3973,100,testid-1234567890,Customer/Collaborator,,,,,,Online,Available,Visible,,,,,,,1,1,1,1,300,80,870,10,1196,1,1,1,1,1,1,,,,,,,,,,,,,,,,
https://stg.procore.com/certification,procoredev,200,stg.procore.com|US|Resource|Certification,Resource|Certification,stg.procore.com,Before Unload,2019-07-26T14:01:00.431-07:00,5484041980,51293310675883813213324039542430751592,1876985293.1564174833,stg.procore.com,/certification,6189,100,testid-1234567890,Customer/Collaborator,,,,,,,,,,,,,,,2,1,1,1,318,75,2026,4,2365,1,1,1,1,1,1,,,,,,,,,,,,,,,,
https://stg.procore.com/construction-financials,procoredev,200,stg.procore.com|US|Product|Construction Financials|Overview,Product|Construction Financials|Overview,stg.procore.com,Before Unload,2019-07-26T14:01:03.495-07:00,3301707911,51293310675883813213324039542430751592,1876985293.1564174833,stg.procore.com,/construction-financials,5815,100,testid-1234567890,Customer/Collaborator,,,,,,Online,Available,Visible,,,,,,,2,1,1,1,272,70,1975,9,2308,1,1,1,1,1,1,,,,,,,,,,,,,,,,
https://stg.procore.com/construction-financials/accounting-integrations,procoredev,200,stg.procore.com|US|Product|Construction Financials|Accounting Integrations,Product|Construction Financials|Accounting Integrations,stg.procore.com,Before Unload,2019-07-26T14:01:05.547-07:00,9566722387,51293310675883813213324039542430751592,1876985293.1564174833,stg.procore.com,/construction-financials/accounting-integrations,9449,100,testid-1234567890,Customer/Collaborator,,,,,,,,,,,,,,,1,1,1,1,501,79,876,6,1400,1,1,1,1,1,1,,,,,,,,,,,,,,,,
https://stg.procore.com/continuing-education,procoredev,200,stg.procore.com|US|Resource|Continuing Education,Resource|Continuing Education,stg.procore.com,Before Unload,2019-07-26T14:01:08.160-07:00,8006080395,51293310675883813213324039542430751592,1876985293.1564174833,stg.procore.com,/continuing-education,3941,100,testid-1234567890,Customer/Collaborator,,,,,,,,,,,,,,,1,1,1,1,430,90,1685,4,2142,1,1,1,1,1,1,,,,,,,,,,,,,,,,
https://stg.procore.com/demo,procoredev,200,stg.procore.com|US|,,stg.procore.com,Before Unload,2019-07-26T14:01:10.766-07:00,8849718050,51293310675883813213324039542430751592,1876985293.1564174833,stg.procore.com,/demo,2749,100,testid-1234567890,Customer/Collaborator,,,,,,Online,Available,Visible,,,,,,,1,1,1,1,414,99,1409,7,1843,1,1,1,1,1,1,,,,,,,,,,,,,,,,
https://stg.procore.com/en-au,procoredev,200,stg.procore.com|AU|Home,Home,stg.procore.com,Before Unload,2019-07-26T14:01:12.550-07:00,2286804029,51293310675883813213324039542430751592,1876985293.1564174833,stg.procore.com,/en-au,7016,100,testid-1234567890,Customer/Collaborator,,,,,,,,,,,,,,,1,1,1,1,295,1,935,6,1250,1,1,1,1,1,1,,,,,,,,,,,,,,,,
https://stg.procore.com/en-au/about,procoredev,200,stg.procore.com|AU|,,stg.procore.com,Before Unload,2019-07-26T14:01:14.568-07:00,4841859524,51293310675883813213324039542430751592,1876985293.1564174833,stg.procore.com,/en-au/about,7145,100,testid-1234567890,Customer/Collaborator,,,,,,,,,,,,,,,1,1,1,1,423,77,966,5,1439,1,1,1,1,1,1,,,,,,,,,,,,,,,,
https://stg.procore.com/en-au/blueprint,procoredev,200,stg.procore.com|AU|,,stg.procore.com,Before Unload,2019-07-26T14:01:17.123-07:00,1023308461,51293310675883813213324039542430751592,1876985293.1564174833,stg.procore.com,/en-au/blueprint,7599,100,testid-1234567890,Customer/Collaborator,,,,,,Online,Available,Visible,,,,,,,2,1,1,1,410,90,1013,11,1484,1,1,1,1,1,1,,,,,,,,,,,,,,,,
https://stg.procore.com/en-au/buildersclub,procoredev,200,stg.procore.com|AU|,,stg.procore.com,Before Unload,2019-07-26T14:01:20.345-07:00,8213450953,51293310675883813213324039542430751592,1876985293.1564174833,stg.procore.com,/en-au/buildersclub,3973,100,testid-1234567890,Customer/Collaborator,,,,,,Online,Available,Visible,,,,,,,2,1,1,1,408,1,1862,8,2320,1,1,1,1,1,1,,,,,,,,,,,,,,,,
https://stg.procore.com/en-au/certification,procoredev,200,stg.procore.com|AU|,,stg.procore.com,Before Unload,2019-07-26T14:01:22.832-07:00,7181638869,51293310675883813213324039542430751592,1876985293.1564174833,stg.procore.com,/en-au/certification,6189,100,testid-1234567890,Customer/Collaborator,,,,,,,,,,,,,,,1,1,1,1,420,1,1576,4,2016,1,1,1,1,1,1,,,,,,,,,,,,,,,,
