Test URL (url),Report Suite (rs),Status Code (status),Page Name (pageName),Site Section (ch),Server (server),Campaign (v0),Hit Type (v1),Timestamp (v2),Pageview ID (v3),Library Version (v4),Adobe Analytics ID (v5),Google Analytics ID (v6),Site Country (v7),Previous Page Name (v8),Previous Page URL (v9),Page Type (v10),Page Protocol (v13),Page Domain (v14),Page Path (v15),Page Query String (v16),Page Fragment (v17),Page Document Title (v18),Personalization Variants (v32),Procore ID (v35),Procore User Type (v36),Navigation Type (v37),Tab ID (v38),Tab Type (v39),Tab Count (v40),Redirect Count (event16)
https://stg.procore.com/,procorestaging,200,stg.procore.com|US|Home,Home,stg.procore.com,,Pageview,2020-02-06T16:16:44.917-08:00,5183277600,2.17.0|4.5.2|staging|25.7.0|2020-02-06T19:22:38Z,,1068503837.1581034605,US,,,Home,https:,stg.procore.com,/,,,Procore Construction Management Software,Default,,Prospect,NAVIGATE,75e4c6fa-6fdf-4af5-b31c-c7739cd7f13b,Existing,1,
https://stg.procore.com/about?utm_medium=Social&utm_source=LinkedIn&utm_campaign=BRD&utm_term=Organic&utm_content=Jobsite_Constructions-up-and-coming-tech,procorestaging,200,stg.procore.com|US|Company|About,Company|About,stg.procore.com,|BRD|LinkedIn|Social|Organic|Jobsite_Constructions-up-and-coming-tech|,Pageview,2020-02-06T16:17:04.314-08:00,3468592554,2.17.0|4.5.2|staging|25.7.0|2020-02-06T19:22:38Z,27081611712016556760287800048570418844,1068503837.1581034605,US,stg.procore.com|US|Home,stg.procore.com/,Landing Page,https:,stg.procore.com,/about,?utm_medium=Social&utm_source=LinkedIn&utm_campaign=BRD&utm_term=Organic&utm_content=Jobsite_Constructions-up-and-coming-tech,#fragment,The #1 Most Used Construction Management Software,Default,testid-1234567890,Customer/Collaborator,NAVIGATE,75e4c6fa-6fdf-4af5-b31c-c7739cd7f13b,Existing,1,
