Test URL (url),Report Suite (rs),Status Code (status),Page Name (pageName),Site Section (ch),Server (server),Hit Type (v1),Timestamp (v2),Pageview ID (v3),Adobe Analytics ID (v5),Google Analytics ID (v6),Page Protocol (v13),Page Domain (v14),Page Path (v15),Page Query String (v16),Page Fragment (v17),Procore ID (v35),Procore User Type (v36),Form ID (v50),Form View (event46)
https://stg.procore.com/en-au/press/procore-acquires-bimanywhere,procorestaging,200,stg.procore.com|AU|Company|Press|Procore Acquires Bimanywhere,Company|Press|Procore Acquires Bimanywhere,stg.procore.com,Form Viewed Event,2019-08-05T17:35:04.538-07:00,8926571241,62479535618886895422240139576241655101,1905709993.1565051416,https:,stg.procore.com,/en-au/press/procore-acquires-bimanywhere,,,testid-1234567890,Customer/Collaborator,1295,1
https://stg.procore.com/demo,procorestaging,200,stg.procore.com|US|Marketing|Demo,Marketing|Demo,stg.procore.com,Form Viewed Event,2019-08-05T17:35:11.464-07:00,1235269028,62479535618886895422240139576241655101,1905709993.1565051416,https:,stg.procore.com,/demo,,,testid-1234567890,Customer/Collaborator,4876,1
https://stg.procore.com/en-au/quality-safety,procorestaging,200,stg.procore.com|AU|Product|Quality Safety|Overview,Product|Quality Safety|Overview,stg.procore.com,Form Viewed Event,2019-08-05T17:35:18.562-07:00,5765504297,62479535618886895422240139576241655101,1905709993.1565051416,https:,stg.procore.com,/en-au/quality-safety,,,testid-1234567890,Customer/Collaborator,1295,1
https://stg.procore.com/en-au/quality-safety/daily-log,procorestaging,200,stg.procore.com|AU|Product|Quality Safety|Daily Log,Product|Quality Safety|Daily Log,stg.procore.com,Form Viewed Event,2019-08-05T17:35:20.802-07:00,3777305514,62479535618886895422240139576241655101,1905709993.1565051416,https:,stg.procore.com,/en-au/quality-safety/daily-log,,,testid-1234567890,Customer/Collaborator,1295,1
https://stg.procore.com/demo,procorestaging,200,stg.procore.com|US|Marketing|Demo,Marketing|Demo,stg.procore.com,Form Viewed Event,2019-08-05T17:35:27.400-07:00,8653188146,62479535618886895422240139576241655101,1905709993.1565051416,https:,stg.procore.com,/demo,,,testid-1234567890,Customer/Collaborator,4876,1
https://stg.procore.com/en-au/subcontractors,procorestaging,200,stg.procore.com|AU|Solution|Subcontractors,Solution|Subcontractors,stg.procore.com,Form Viewed Event,2019-08-05T17:35:33.734-07:00,8864520932,62479535618886895422240139576241655101,1905709993.1565051416,https:,stg.procore.com,/en-au/subcontractors,,,testid-1234567890,Customer/Collaborator,1295,1
https://stg.procore.com/en-au/subs-demo?utm_medium=Social&utm_source=LinkedIn&utm_campaign=BRD&utm_term=Organic&utm_content=Jobsite_Constructions-up-and-coming-tech,procorestaging,200,stg.procore.com|AU|Marketing|Subs Demo,Marketing|Subs Demo,stg.procore.com,Form Viewed Event,2019-08-05T17:35:36.239-07:00,4409567182,62479535618886895422240139576241655101,1905709993.1565051416,https:,stg.procore.com,/en-au/subs-demo,?utm_medium=Social&utm_source=LinkedIn&utm_campaign=BRD&utm_term=Organic&utm_content=Jobsite_Constructions-up-and-coming-tech,,testid-1234567890,Customer/Collaborator,1295,1
https://stg.procore.com/en-au/webinars,procorestaging,200,stg.procore.com|AU|Resource|Webinars|Overview,Resource|Webinars|Overview,stg.procore.com,Form Viewed Event,2019-08-05T17:35:38.705-07:00,9346705492,62479535618886895422240139576241655101,1905709993.1565051416,https:,stg.procore.com,/en-au/webinars,,,testid-1234567890,Customer/Collaborator,1295,1
https://stg.procore.com/demo,procorestaging,200,stg.procore.com|US|Marketing|Demo,Marketing|Demo,stg.procore.com,Form Viewed Event,2019-08-05T17:35:43.523-07:00,9832929490,62479535618886895422240139576241655101,1905709993.1565051416,https:,stg.procore.com,/demo,,,testid-1234567890,Customer/Collaborator,4876,1
https://stg.procore.com/en-ca,procorestaging,200,stg.procore.com|CA|Home,Home,stg.procore.com,Form Viewed Event,2019-08-05T17:36:21.168-07:00,9192016461,62479535618886895422240139576241655101,1905709993.1565051416,https:,stg.procore.com,/en-ca,,#fragment,testid-1234567890,Customer/Collaborator,1295,1
https://stg.procore.com/demo,procorestaging,200,stg.procore.com|US|Marketing|Demo,Marketing|Demo,stg.procore.com,Form Viewed Event,2019-08-05T17:36:26.312-07:00,8661946357,62479535618886895422240139576241655101,1905709993.1565051416,https:,stg.procore.com,/demo,,,testid-1234567890,Customer/Collaborator,4876,1
https://stg.procore.com/en-ca/certification,procorestaging,200,stg.procore.com|CA|Resource|Certification,Resource|Certification,stg.procore.com,Form Viewed Event,2019-08-05T17:36:35.529-07:00,8127588926,62479535618886895422240139576241655101,1905709993.1565051416,https:,stg.procore.com,/en-ca/certification,,,testid-1234567890,Customer/Collaborator,1295,1
https://stg.procore.com/demo,procorestaging,200,stg.procore.com|US|Marketing|Demo,Marketing|Demo,stg.procore.com,Form Viewed Event,2019-08-05T17:36:44.202-07:00,1198730383,62479535618886895422240139576241655101,1905709993.1565051416,https:,stg.procore.com,/demo,,,testid-1234567890,Customer/Collaborator,4876,1
https://stg.procore.com/en-ca/events,procorestaging,200,stg.procore.com|CA|Event|Industry Events,Event|Industry Events,stg.procore.com,Form Viewed Event,2019-08-05T17:38:35.52-07:00,2030324733,62479535618886895422240139576241655101,1905709993.1565051416,https:,stg.procore.com,/en-ca/events,,,testid-1234567890,Customer/Collaborator,1295,1
https://stg.procore.com/demo,procorestaging,200,stg.procore.com|US|Marketing|Demo,Marketing|Demo,stg.procore.com,Form Viewed Event,2019-08-05T17:38:37.996-07:00,9504370838,62479535618886895422240139576241655101,1905709993.1565051416,https:,stg.procore.com,/demo,,,testid-1234567890,Customer/Collaborator,4876,1
https://stg.procore.com/demo,procorestaging,200,stg.procore.com|US|Marketing|Demo,Marketing|Demo,stg.procore.com,Form Viewed Event,2019-08-05T17:38:46.957-07:00,1441123936,62479535618886895422240139576241655101,1905709993.1565051416,https:,stg.procore.com,/demo,,,testid-1234567890,Customer/Collaborator,4876,1
https://stg.procore.com/en-ca/jobs/benefits,procorestaging,200,stg.procore.com|CA|Company|Jobs|Benefits,Company|Jobs|Benefits,stg.procore.com,Form Viewed Event,2019-08-05T17:38:55.523-07:00,7407661603,62479535618886895422240139576241655101,1905709993.1565051416,https:,stg.procore.com,/en-ca/jobs/benefits,,,testid-1234567890,Customer/Collaborator,1295,1
https://stg.procore.com/en-ca/legal,procorestaging,200,stg.procore.com|CA|Company|Legal|Overview,Company|Legal|Overview,stg.procore.com,Form Viewed Event,2019-08-05T17:39:04.373-07:00,6530246537,62479535618886895422240139576241655101,1905709993.1565051416,https:,stg.procore.com,/en-ca/legal,,,testid-1234567890,Customer/Collaborator,1295,1
