Test URL (url),Report Suite (rs),Status Code (status),Page Name (pageName),Site Section (ch),Server (server),Hit Type (v1),Timestamp (v2),Pageview ID (v3),Adobe Analytics ID (v5),Google Analytics ID (v6),Page Protocol (v13),Page Domain (v14),Page Path (v15),Page Query String (v16),Page Fragment (v17),Procore ID (v35),Procore User Type (v36),Event Type (v42),Event Name (v43),Event Label (v44),Event Count (v45),Custom Event Count (event18)
https://stg.procore.com/en-au/certification?utm_medium=Social&utm_source=LinkedIn&utm_campaign=BRD&utm_term=Organic&utm_content=Jobsite_Constructions-up-and-coming-tech,procorestaging,200,stg.procore.com|AU|Resource|Certification,Resource|Certification,stg.procore.com,Custom Event,2019-08-05T17:32:29.203-07:00,7546089901,62479535618886895422240139576241655101,1905709993.1565051416,https:,stg.procore.com,/en-au/certification,?utm_medium=Social&utm_source=LinkedIn&utm_campaign=BRD&utm_term=Organic&utm_content=Jobsite_Constructions-up-and-coming-tech,,testid-1234567890,Customer/Collaborator,test type,test name,test label,+1,1
https://stg.procore.com/en-au/construction-financials,procorestaging,200,stg.procore.com|AU|Product|Construction Financials|Overview,Product|Construction Financials|Overview,stg.procore.com,Custom Event,2019-08-05T17:32:39.935-07:00,3014454292,62479535618886895422240139576241655101,1905709993.1565051416,https:,stg.procore.com,/en-au/construction-financials,,,testid-1234567890,Customer/Collaborator,test type,test name,test label,+1,1
https://stg.procore.com/en-au/construction-financials/accounting-integrations,procorestaging,200,stg.procore.com|AU|Product|Construction Financials|Accounting Integrations,Product|Construction Financials|Accounting Integrations,stg.procore.com,Custom Event,2019-08-05T17:32:42.117-07:00,1280699768,62479535618886895422240139576241655101,1905709993.1565051416,https:,stg.procore.com,/en-au/construction-financials/accounting-integrations,,,testid-1234567890,Customer/Collaborator,test type,test name,test label,+1,1
https://stg.procore.com/en-au/continuing-education,procorestaging,200,stg.procore.com|AU|Resource|Continuing Education,Resource|Continuing Education,stg.procore.com,Custom Event,2019-08-05T17:33:44.836-07:00,4252511996,62479535618886895422240139576241655101,1905709993.1565051416,https:,stg.procore.com,/en-au/continuing-education,,,testid-1234567890,Customer/Collaborator,test type,test name,test label,+1,1
https://stg.procore.com/en-au/demo,procorestaging,200,stg.procore.com|AU|Marketing|Demo,Marketing|Demo,stg.procore.com,Custom Event,2019-08-05T17:33:46.620-07:00,5317325347,62479535618886895422240139576241655101,1905709993.1565051416,https:,stg.procore.com,/en-au/demo,,,testid-1234567890,Customer/Collaborator,test type,test name,test label,+1,1
https://stg.procore.com/en-au/engineering,procorestaging,200,stg.procore.com|AU|Company|Engineering,Company|Engineering,stg.procore.com,Custom Event,2019-08-05T17:33:49.616-07:00,4834246351,62479535618886895422240139576241655101,1905709993.1565051416,https:,stg.procore.com,/en-au/engineering,,,testid-1234567890,Customer/Collaborator,test type,test name,test label,+1,1
https://stg.procore.com/en-au/events,procorestaging,200,stg.procore.com|AU|Event|Industry Events,Event|Industry Events,stg.procore.com,Custom Event,2019-08-05T17:33:51.467-07:00,5471945670,62479535618886895422240139576241655101,1905709993.1565051416,https:,stg.procore.com,/en-au/events,,,testid-1234567890,Customer/Collaborator,test type,test name,test label,+1,1
https://stg.procore.com/en-au/field-productivity,procorestaging,200,stg.procore.com|AU|Product|Field Productivity|Overview,Product|Field Productivity|Overview,stg.procore.com,Custom Event,2019-08-05T17:33:53.560-07:00,5707594704,62479535618886895422240139576241655101,1905709993.1565051416,https:,stg.procore.com,/en-au/field-productivity,,,testid-1234567890,Customer/Collaborator,test type,test name,test label,+1,1
https://stg.procore.com/en-au/field-productivity/crews,procorestaging,200,stg.procore.com|AU|Product|Field Productivity|Crews,Product|Field Productivity|Crews,stg.procore.com,Custom Event,2019-08-05T17:33:55.763-07:00,8779908357,62479535618886895422240139576241655101,1905709993.1565051416,https:,stg.procore.com,/en-au/field-productivity/crews,,,testid-1234567890,Customer/Collaborator,test type,test name,test label,+1,1
https://stg.procore.com/en-au/innovation-lab,procorestaging,200,stg.procore.com|AU|Event|Innovation Lab,Event|Innovation Lab,stg.procore.com,Custom Event,2019-08-05T17:34:07.12-07:00,9805019667,62479535618886895422240139576241655101,1905709993.1565051416,https:,stg.procore.com,/en-au/innovation-lab,,,testid-1234567890,Customer/Collaborator,test type,test name,test label,+1,1
