Test URL (url),Report Suite (rs),Status Code (status),Page Name (pageName),Site Section (ch),Server (server),Hit Type (v1),Timestamp (v2),Pageview ID (v3),Adobe Analytics ID (v5),Google Analytics ID (v6),Page Domain (v14),Page Path (v15),Page Height (v19),Page Percent Viewed (v20),Procore ID (v35),Procore User Type (v36),Tab Focus Count (v41),Form ID (v50),Form Inputs (v51),Form Input Count (v52),Form Selected Count (v53),Chat Online (v55),Chat Team Available (v56),Chat Visible (v57),Chat Covnersation ID (v58),Chat Playbook ID (v59),Chat Campaign ID (v60),Form Errors (c14),Form Inputs (c15),Form Interaction Path (c16),Forms On Page (c17),Redirect Timing (event1),App cache Timing (event2),DNS Timing (event3),TCP Timing (event4),Request Timing (event5),Response Timing (event6),Processing Timing (event7),On Load Timing (event8),Page Load Timing (event9),Page Scrolled 10% (event10),Page Scrolled 25% (event11),Page Scrolled 50% (event12),Page Scrolled 75% (event13),Page Scrolled 95% (event14),Page Scrolled 100% (event15),Tab Click (event17),Form Start (event20),Form Complete (event21),Form Error Count (event22),Form Selected Count (event23),Sidebar Opened (event34),Sidebar Closed (event35),Playbook Clicked (event36),Playbook Dismissed (event37),Conversation Started (event38),Message Sent (event39),Message Receieved (event40),Email Captured (event41),Phone Captured (event42),Meeting Requested (event43),Meeting Booked (event44),Forms On Page (event45)
https://stg.procore.com/en-gb/demo,procoredev,200,stg.procore.com|GB|Marketing|Demo,Marketing|Demo,stg.procore.com,Before Unload,2019-07-28T01:12:06.776-07:00,7705432497,42283175745149342134298439484924150834,1103463889.1564300986,stg.procore.com,/en-gb/demo,2733,22,testid-1234567890,Customer/Collaborator,,,,,,,,,,,,,,,4876|1295,1,1,1,1,293,94,2651,6,2963,1,,,,,,,,,,,,,,,,,,,,,,2
https://stg.procore.com/en-gb/engineering,procoredev,200,stg.procore.com|GB|Company|Engineering,Company|Engineering,stg.procore.com,Before Unload,2019-07-28T01:12:11.164-07:00,6708020072,42283175745149342134298439484924150834,1103463889.1564300986,stg.procore.com,/en-gb/engineering,19521,3,testid-1234567890,Customer/Collaborator,,,,,,,,,,,,,,,,2,1,1,1,304,196,3855,10,4185,,,,,,,,,,,,,,,,,,,,,,,
https://stg.procore.com/en-gb/events,procoredev,200,stg.procore.com|GB|Event|Industry Events,Event|Industry Events,stg.procore.com,Before Unload,2019-07-28T01:12:14.68-07:00,2978415843,42283175745149342134298439484924150834,1103463889.1564300986,stg.procore.com,/en-gb/events,870,69,testid-1234567890,Customer/Collaborator,,,,,,,,,,,,,,,1295|4876,2,1,1,1,505,1,2238,4,2761,1,1,1,,,,,,,,,,,,,,,,,,,,2
https://stg.procore.com/en-gb/field-productivity,procoredev,200,stg.procore.com|GB|Product|Field Productivity|Overview,Product|Field Productivity|Overview,stg.procore.com,Before Unload,2019-07-28T01:12:17.929-07:00,3678481210,42283175745149342134298439484924150834,1103463889.1564300986,stg.procore.com,/en-gb/field-productivity,3396,18,testid-1234567890,Customer/Collaborator,,,,,,,,,,,,,,,1295|4876,2,1,1,1,352,29,2848,7,3219,1,,,,,,,,,,,,,,,,,,,,,,2
https://stg.procore.com/en-gb/field-productivity/crews,procoredev,200,stg.procore.com|GB|Product|Field Productivity|Crews,Product|Field Productivity|Crews,stg.procore.com,Before Unload,2019-07-28T01:12:19.659-07:00,7012577383,42283175745149342134298439484924150834,1103463889.1564300986,stg.procore.com,/en-gb/field-productivity/crews,3642,16,testid-1234567890,Customer/Collaborator,,,,,,,,,,,,,,,,2,1,1,1,407,2,1064,4,1523,1,,,,,,,,,,,,,,,,,,,,,,
https://stg.procore.com/en-gb/innovation-lab,procoredev,200,stg.procore.com|GB|Event|Innovation Lab,Event|Innovation Lab,stg.procore.com,Before Unload,2019-07-28T01:12:23.568-07:00,8201433881,42283175745149342134298439484924150834,1103463889.1564300986,stg.procore.com,/en-gb/innovation-lab,6601,100,testid-1234567890,Customer/Collaborator,,,,,,,,,,,,,,,1213|1295|4876,1,1,1,1,280,116,3053,6,3357,1,1,1,1,1,1,,,,,,,,,,,,,,,,,3
https://stg.procore.com/en-gb/jobs,procoredev,200,stg.procore.com|GB|Company|Jobs,Company|Jobs,stg.procore.com,Before Unload,2019-07-28T01:12:27.258-07:00,7582627941,42283175745149342134298439484924150834,1103463889.1564300986,stg.procore.com,/en-gb/jobs,4349,14,testid-1234567890,Customer/Collaborator,,,,,,Online,Available,Visible,,,,,,,1295|4876,1,1,1,1,265,2,2581,9,2920,1,,,,,,,,,,,,,,,,,,,,,,2
https://stg.procore.com/en-gb/jobs/benefits,procoredev,200,stg.procore.com|GB|Company|Jobs|Benefits,Company|Jobs|Benefits,stg.procore.com,Before Unload,2019-07-28T01:12:32.36-07:00,1299611688,42283175745149342134298439484924150834,1103463889.1564300986,stg.procore.com,/en-gb/jobs/benefits,4388,14,testid-1234567890,Customer/Collaborator,,4876,FirstName|LastName|Email|Phone|Company|Country|gDPRFormsConsent,7,+6,Online,Available,Visible,,,,Email|Country,FirstName|LastName|Email|Phone|Company|Country|gDPRFormsConsent,FirstName|LastName|Phone|Company|mktoButton|Email|submit,1295|4876,1,1,1,1,300,80,2137,4,2459,1,,,,,,,1,,1,6,,,,,,,,,,,,2
https://stg.procore.com/en-gb/jobs/openings,procoredev,200,stg.procore.com|GB|Company|Jobs|Openings,Company|Jobs|Openings,stg.procore.com,Before Unload,2019-07-28T01:12:34.15-07:00,9991520158,42283175745149342134298439484924150834,1103463889.1564300986,stg.procore.com,/en-gb/jobs/openings,18596,3,testid-1234567890,Customer/Collaborator,,,,,,,,,,,,,,,1295|4876,4,1,1,1,409,88,1169,7,1601,,,,,,,,,,,,,,,,,,,,,,,2
https://stg.procore.com/en-gb/jobs/openings/1056317,procoredev,200,stg.procore.com|US|Company|Jobs|Openings|1056317,Company|Jobs|Openings|1056317,stg.procore.com,Before Unload,2019-07-28T01:12:38.402-07:00,3082834153,42283175745149342134298439484924150834,1103463889.1564300986,stg.procore.com,/en-gb/jobs/openings/1056317,10674,6,testid-1234567890,Customer/Collaborator,,,,,,,,,,,,,,,1295|4876,1,1,1,1,339,15,2870,6,3239,,,,,,,,,,,,,,,,,,,,,,,2
https://stg.procore.com/en-gb/jobs/sales,procoredev,200,stg.procore.com|GB|Company|Jobs|Sales,Company|Jobs|Sales,stg.procore.com,Before Unload,2019-07-28T01:12:42.469-07:00,6640354538,42283175745149342134298439484924150834,1103463889.1564300986,stg.procore.com,/en-gb/jobs/sales,4432,14,testid-1234567890,Customer/Collaborator,,4876,FirstName|LastName|Email|Phone|Company|Country|gDPRFormsConsent,7,+5,Online,Available,Visible,,,,,FirstName|LastName|Email|Phone|Company|Country|gDPRFormsConsent,FirstName|LastName|Phone|Company|mktoButton,1295|4876,1,1,1,1,527,3,1132,6,1697,1,,,,,,,1,,,5,,,,,,,,,,,,2
