Test URL (url),Report Suite (rs),Status Code (status),Media Player Name (playerName),Video Name (name),Video Length (length),Page Name (pageName),Site Section (ch),Server (server),Hit Type (v1),Timestamp (v2),Pageview ID (v3),Adobe Analytics ID (v5),Google Analytics ID (v6),Page Domain (v14),Page Path (v15),Procore ID (v35),Procore User Type (v36),Video Name (v62),Events (events),Video View (event24),Video Play (event25),Video Pause (event26),Video Complete (event27),Video Time Played (event28),Video 10% Watched (event29),Video 25% Watched (event30),Video 50% Watched (event31),Video 75% Watched (event32),Video 95% Watched (event33)
https://stg.procore.com/en-au/platform,procoredev,200,Wistia,McNab Construction Accelerates Revenue with Procore,107.566,stg.procore.com|AU|Product|Platform|Overview,,,Video Event,2019-07-28T01:05:45.751-07:00,1864968613,42283175745149342134298439484924150834,1103463889.1564300986,stg.procore.com,/en-au/platform,testid-1234567890,Customer/Collaborator,McNab Construction Accelerates Revenue with Procore,,1,1,,,,,,,,
https://stg.procore.com/en-au/platform,procoredev,200,Wistia,McNab Construction Accelerates Revenue with Procore,107.566,stg.procore.com|AU|Product|Platform|Overview,,,Video Event,2019-07-28T01:05:48.888-07:00,1864968613,42283175745149342134298439484924150834,1103463889.1564300986,stg.procore.com,/en-au/platform,testid-1234567890,Customer/Collaborator,McNab Construction Accelerates Revenue with Procore,,,,1,,3,,,,,
https://stg.procore.com/en-au/platform,procoredev,200,Wistia,McNab Construction Accelerates Revenue with Procore,107.566,stg.procore.com|AU|Product|Platform|Overview,,,Video Event,2019-07-28T01:05:53.955-07:00,1864968613,42283175745149342134298439484924150834,1103463889.1564300986,stg.procore.com,/en-au/platform,testid-1234567890,Customer/Collaborator,McNab Construction Accelerates Revenue with Procore,,,1,,,,,,,,
https://stg.procore.com/en-au/platform,procoredev,200,Wistia,McNab Construction Accelerates Revenue with Procore,107.566,stg.procore.com|AU|Product|Platform|Overview,,,Video Event,2019-07-28T01:06:01.781-07:00,1864968613,42283175745149342134298439484924150834,1103463889.1564300986,stg.procore.com,/en-au/platform,testid-1234567890,Customer/Collaborator,McNab Construction Accelerates Revenue with Procore,,,,,,7,1,,,,
https://stg.procore.com/en-au/platform,procoredev,200,Wistia,McNab Construction Accelerates Revenue with Procore,107.566,stg.procore.com|AU|Product|Platform|Overview,,,Video Event,2019-07-28T01:06:17.801-07:00,1864968613,42283175745149342134298439484924150834,1103463889.1564300986,stg.procore.com,/en-au/platform,testid-1234567890,Customer/Collaborator,McNab Construction Accelerates Revenue with Procore,,,,,,16,,1,,,
https://stg.procore.com/en-au/project-management/bidding,procoredev,200,Wistia,McNab Construction Accelerates Revenue with Procore,107.566,stg.procore.com|AU|Product|Project Management|Bidding,,,Video Event,2019-07-28T01:06:45.435-07:00,5912629760,42283175745149342134298439484924150834,1103463889.1564300986,stg.procore.com,/en-au/project-management/bidding,testid-1234567890,Customer/Collaborator,McNab Construction Accelerates Revenue with Procore,,1,1,,,,,,,,
https://stg.procore.com/en-au/project-management/bidding,procoredev,200,Wistia,McNab Construction Accelerates Revenue with Procore,107.566,stg.procore.com|AU|Product|Project Management|Bidding,,,Video Event,2019-07-28T01:06:49.15-07:00,5912629760,42283175745149342134298439484924150834,1103463889.1564300986,stg.procore.com,/en-au/project-management/bidding,testid-1234567890,Customer/Collaborator,McNab Construction Accelerates Revenue with Procore,,,,1,,3,,,,,
https://stg.procore.com/en-au/project-management/bidding,procoredev,200,Wistia,McNab Construction Accelerates Revenue with Procore,107.566,stg.procore.com|AU|Product|Project Management|Bidding,,,Video Event,2019-07-28T01:06:54.85-07:00,5912629760,42283175745149342134298439484924150834,1103463889.1564300986,stg.procore.com,/en-au/project-management/bidding,testid-1234567890,Customer/Collaborator,McNab Construction Accelerates Revenue with Procore,,,1,,,,,,,,
https://stg.procore.com/en-au/project-management/bidding,procoredev,200,Wistia,McNab Construction Accelerates Revenue with Procore,107.566,stg.procore.com|AU|Product|Project Management|Bidding,,,Video Event,2019-07-28T01:07:01.455-07:00,5912629760,42283175745149342134298439484924150834,1103463889.1564300986,stg.procore.com,/en-au/project-management/bidding,testid-1234567890,Customer/Collaborator,McNab Construction Accelerates Revenue with Procore,,,,,,7,1,,,,
https://stg.procore.com/en-au/project-management/bidding,procoredev,200,Wistia,McNab Construction Accelerates Revenue with Procore,107.566,stg.procore.com|AU|Product|Project Management|Bidding,,,Video Event,2019-07-28T01:07:17.476-07:00,5912629760,42283175745149342134298439484924150834,1103463889.1564300986,stg.procore.com,/en-au/project-management/bidding,testid-1234567890,Customer/Collaborator,McNab Construction Accelerates Revenue with Procore,,,,,,16,,1,,,
https://stg.procore.com/en-ca/certification,procoredev,200,Wistia,Mizrahi Developments and Clark Construction Management Found Procore to Build The One ,45.88,stg.procore.com|CA|Resource|Certification,,,Video Event,2019-07-28T01:08:15.513-07:00,8366081412,42283175745149342134298439484924150834,1103463889.1564300986,stg.procore.com,/en-ca/certification,testid-1234567890,Customer/Collaborator,Mizrahi Developments and Clark Construction Management Found Procore to Build The One ,,1,1,,,,,,,,
https://stg.procore.com/en-ca/certification,procoredev,200,Wistia,Mizrahi Developments and Clark Construction Management Found Procore to Build The One ,45.88,stg.procore.com|CA|Resource|Certification,,,Video Event,2019-07-28T01:08:18.811-07:00,8366081412,42283175745149342134298439484924150834,1103463889.1564300986,stg.procore.com,/en-ca/certification,testid-1234567890,Customer/Collaborator,Mizrahi Developments and Clark Construction Management Found Procore to Build The One ,,,,1,,3,,,,,
https://stg.procore.com/en-ca/certification,procoredev,200,Wistia,Mizrahi Developments and Clark Construction Management Found Procore to Build The One ,45.88,stg.procore.com|CA|Resource|Certification,,,Video Event,2019-07-28T01:08:23.875-07:00,8366081412,42283175745149342134298439484924150834,1103463889.1564300986,stg.procore.com,/en-ca/certification,testid-1234567890,Customer/Collaborator,Mizrahi Developments and Clark Construction Management Found Procore to Build The One ,,,1,,,,,,,,
https://stg.procore.com/en-ca/certification,procoredev,200,Wistia,Mizrahi Developments and Clark Construction Management Found Procore to Build The One ,45.88,stg.procore.com|CA|Resource|Certification,,,Video Event,2019-07-28T01:08:25.531-07:00,8366081412,42283175745149342134298439484924150834,1103463889.1564300986,stg.procore.com,/en-ca/certification,testid-1234567890,Customer/Collaborator,Mizrahi Developments and Clark Construction Management Found Procore to Build The One ,,,,,,1,1,,,,
https://stg.procore.com/en-ca/certification,procoredev,200,Wistia,Mizrahi Developments and Clark Construction Management Found Procore to Build The One ,45.88,stg.procore.com|CA|Resource|Certification,,,Video Event,2019-07-28T01:08:32.545-07:00,8366081412,42283175745149342134298439484924150834,1103463889.1564300986,stg.procore.com,/en-ca/certification,testid-1234567890,Customer/Collaborator,Mizrahi Developments and Clark Construction Management Found Procore to Build The One ,,,,,,7,,1,,,
https://stg.procore.com/en-ca/certification,procoredev,200,Wistia,Mizrahi Developments and Clark Construction Management Found Procore to Build The One ,45.88,stg.procore.com|CA|Resource|Certification,,,Video Event,2019-07-28T01:08:43.559-07:00,8366081412,42283175745149342134298439484924150834,1103463889.1564300986,stg.procore.com,/en-ca/certification,testid-1234567890,Customer/Collaborator,Mizrahi Developments and Clark Construction Management Found Procore to Build The One ,,,,,,11,,,1,,
https://stg.procore.com/en-ca/roadshow,procoredev,200,Wistia,Mizrahi Developments and Clark Construction Management Found Procore to Build The One ,45.88,stg.procore.com|CA|Event|Roadshow,,,Video Event,2019-07-28T01:10:39.305-07:00,2149966291,42283175745149342134298439484924150834,1103463889.1564300986,stg.procore.com,/en-ca/roadshow,testid-1234567890,Customer/Collaborator,Mizrahi Developments and Clark Construction Management Found Procore to Build The One ,,1,1,,,,,,,,
https://stg.procore.com/en-ca/roadshow,procoredev,200,Wistia,Mizrahi Developments and Clark Construction Management Found Procore to Build The One ,45.88,stg.procore.com|CA|Event|Roadshow,,,Video Event,2019-07-28T01:10:43.66-07:00,2149966291,42283175745149342134298439484924150834,1103463889.1564300986,stg.procore.com,/en-ca/roadshow,testid-1234567890,Customer/Collaborator,Mizrahi Developments and Clark Construction Management Found Procore to Build The One ,,,,1,,3,,,,,
https://stg.procore.com/en-ca/roadshow,procoredev,200,Wistia,Mizrahi Developments and Clark Construction Management Found Procore to Build The One ,45.88,stg.procore.com|CA|Event|Roadshow,,,Video Event,2019-07-28T01:10:48.176-07:00,2149966291,42283175745149342134298439484924150834,1103463889.1564300986,stg.procore.com,/en-ca/roadshow,testid-1234567890,Customer/Collaborator,Mizrahi Developments and Clark Construction Management Found Procore to Build The One ,,,1,,,,,,,,
https://stg.procore.com/en-ca/roadshow,procoredev,200,Wistia,Mizrahi Developments and Clark Construction Management Found Procore to Build The One ,45.88,stg.procore.com|CA|Event|Roadshow,,,Video Event,2019-07-28T01:10:49.323-07:00,2149966291,42283175745149342134298439484924150834,1103463889.1564300986,stg.procore.com,/en-ca/roadshow,testid-1234567890,Customer/Collaborator,Mizrahi Developments and Clark Construction Management Found Procore to Build The One ,,,,,,1,1,,,,
https://stg.procore.com/en-ca/roadshow,procoredev,200,Wistia,Mizrahi Developments and Clark Construction Management Found Procore to Build The One ,45.88,stg.procore.com|CA|Event|Roadshow,,,Video Event,2019-07-28T01:10:56.344-07:00,2149966291,42283175745149342134298439484924150834,1103463889.1564300986,stg.procore.com,/en-ca/roadshow,testid-1234567890,Customer/Collaborator,Mizrahi Developments and Clark Construction Management Found Procore to Build The One ,,,,,,7,,1,,,
https://stg.procore.com/en-ca/roadshow,procoredev,200,Wistia,Mizrahi Developments and Clark Construction Management Found Procore to Build The One ,45.88,stg.procore.com|CA|Event|Roadshow,,,Video Event,2019-07-28T01:11:08.364-07:00,2149966291,42283175745149342134298439484924150834,1103463889.1564300986,stg.procore.com,/en-ca/roadshow,testid-1234567890,Customer/Collaborator,Mizrahi Developments and Clark Construction Management Found Procore to Build The One ,,,,,,12,,,1,,
https://stg.procore.com/en-gb/roadshow,procoredev,200,Wistia,Field Teams - Why Procore?,141.06,stg.procore.com|GB|Event|Roadshow,,,Video Event,2019-07-28T01:14:11.687-07:00,2764989134,42283175745149342134298439484924150834,1103463889.1564300986,stg.procore.com,/en-gb/roadshow,testid-1234567890,Customer/Collaborator,Field Teams - Why Procore?,,1,1,,,,,,,,
