Test URL (url),Report Suite (rs),Status Code (status),Page Name (pageName),Site Section (ch),Server (server),Hit Type (v1),Timestamp (v2),Pageview ID (v3),Adobe Analytics ID (v5),Google Analytics ID (v6),Page Domain (v14),Page Path (v15),Procore ID (v35),Procore User Type (v36),Form ID (v50),Form View (event46)
https://stg.procore.com/demo,procorestaging,200,stg.procore.com|US|Marketing|Demo,Marketing|Demo,stg.procore.com,Form Viewed Event,2019-07-31T13:11:01.240-07:00,2492751398,82073438465062354950873370571625325815,1068991498.1564603849,stg.procore.com,/demo,testid-1234567890,Customer/Collaborator,4876,1
https://stg.procore.com/about,procorestaging,200,stg.procore.com|US|Company|About,Company|About,stg.procore.com,Form Viewed Event,2019-07-31T13:11:07.298-07:00,2578464429,82073438465062354950873370571625325815,1068991498.1564603849,stg.procore.com,/about,testid-1234567890,Customer/Collaborator,1295,1
https://stg.procore.com/en-au/blueprint,procorestaging,200,stg.procore.com|AU|Resource|Blueprint,Resource|Blueprint,stg.procore.com,Form Viewed Event,2019-07-31T13:11:30.90-07:00,4797716109,82073438465062354950873370571625325815,1068991498.1564603849,stg.procore.com,/en-au/blueprint,testid-1234567890,Customer/Collaborator,1295,1
https://stg.procore.com/demo,procorestaging,200,stg.procore.com|US|Marketing|Demo,Marketing|Demo,stg.procore.com,Form Viewed Event,2019-07-31T13:11:33.648-07:00,3197593947,82073438465062354950873370571625325815,1068991498.1564603849,stg.procore.com,/demo,testid-1234567890,Customer/Collaborator,4876,1
https://stg.procore.com/demo,procorestaging,200,stg.procore.com|US|Marketing|Demo,Marketing|Demo,stg.procore.com,Form Viewed Event,2019-07-31T13:11:41.478-07:00,9453937238,82073438465062354950873370571625325815,1068991498.1564603849,stg.procore.com,/demo,testid-1234567890,Customer/Collaborator,4876,1
https://stg.procore.com/en-au/certification,procorestaging,200,stg.procore.com|AU|Resource|Certification,Resource|Certification,stg.procore.com,Form Viewed Event,2019-07-31T13:11:46.657-07:00,4878236797,82073438465062354950873370571625325815,1068991498.1564603849,stg.procore.com,/en-au/certification,testid-1234567890,Customer/Collaborator,1295,1
https://stg.procore.com/en-au/construction-financials,procorestaging,200,stg.procore.com|AU|Product|Construction Financials|Overview,Product|Construction Financials|Overview,stg.procore.com,Form Viewed Event,2019-07-31T13:11:49.76-07:00,1593964963,82073438465062354950873370571625325815,1068991498.1564603849,stg.procore.com,/en-au/construction-financials,testid-1234567890,Customer/Collaborator,1295,1
https://stg.procore.com/en-au/events,procorestaging,200,stg.procore.com|AU|Event|Industry Events,Event|Industry Events,stg.procore.com,Form Viewed Event,2019-07-31T13:12:01.125-07:00,1416466382,82073438465062354950873370571625325815,1068991498.1564603849,stg.procore.com,/en-au/events,testid-1234567890,Customer/Collaborator,1295,1
https://stg.procore.com/demo,procorestaging,200,stg.procore.com|US|Marketing|Demo,Marketing|Demo,stg.procore.com,Form Viewed Event,2019-07-31T13:12:04.533-07:00,3186534920,82073438465062354950873370571625325815,1068991498.1564603849,stg.procore.com,/demo,testid-1234567890,Customer/Collaborator,4876,1
https://stg.procore.com/en-au/field-productivity,procorestaging,200,stg.procore.com|AU|Product|Field Productivity|Overview,Product|Field Productivity|Overview,stg.procore.com,Form Viewed Event,2019-07-31T13:12:21.848-07:00,1209403406,82073438465062354950873370571625325815,1068991498.1564603849,stg.procore.com,/en-au/field-productivity,testid-1234567890,Customer/Collaborator,1295,1
https://stg.procore.com/demo,procorestaging,200,stg.procore.com|US|Marketing|Demo,Marketing|Demo,stg.procore.com,Form Viewed Event,2019-07-31T13:12:25.796-07:00,9175391222,82073438465062354950873370571625325815,1068991498.1564603849,stg.procore.com,/demo,testid-1234567890,Customer/Collaborator,4876,1
https://stg.procore.com/demo,procorestaging,200,stg.procore.com|US|Marketing|Demo,Marketing|Demo,stg.procore.com,Form Viewed Event,2019-07-31T13:12:37.715-07:00,1563480486,82073438465062354950873370571625325815,1068991498.1564603849,stg.procore.com,/demo,testid-1234567890,Customer/Collaborator,4876,1
https://stg.procore.com/en-au/jobs/benefits,procorestaging,200,stg.procore.com|AU|Company|Jobs|Benefits,Company|Jobs|Benefits,stg.procore.com,Form Viewed Event,2019-07-31T13:14:24.125-07:00,3564237191,82073438465062354950873370571625325815,1068991498.1564603849,stg.procore.com,/en-au/jobs/benefits,testid-1234567890,Customer/Collaborator,1295,1
https://stg.procore.com/en-au/jobs/openings,procorestaging,200,stg.procore.com|AU|Company|Jobs|Openings,Company|Jobs|Openings,stg.procore.com,Form Viewed Event,2019-07-31T13:14:26.695-07:00,4863655594,82073438465062354950873370571625325815,1068991498.1564603849,stg.procore.com,/en-au/jobs/openings,testid-1234567890,Customer/Collaborator,1295,1
https://stg.procore.com/en-au/jobs/sales,procorestaging,200,stg.procore.com|AU|Company|Jobs|Sales,Company|Jobs|Sales,stg.procore.com,Form Viewed Event,2019-07-31T13:14:31.713-07:00,2254793118,82073438465062354950873370571625325815,1068991498.1564603849,stg.procore.com,/en-au/jobs/sales,testid-1234567890,Customer/Collaborator,1295,1
https://stg.procore.com/en-au/legal,procorestaging,200,stg.procore.com|AU|Company|Legal|Overview,Company|Legal|Overview,stg.procore.com,Form Viewed Event,2019-07-31T13:14:33.816-07:00,3013379906,82073438465062354950873370571625325815,1068991498.1564603849,stg.procore.com,/en-au/legal,testid-1234567890,Customer/Collaborator,1295,1
https://stg.procore.com/en-au/legal/api-terms-and-conditions,procorestaging,200,stg.procore.com|AU|Company|Legal|Api Terms And Conditions,Company|Legal|Api Terms And Conditions,stg.procore.com,Form Viewed Event,2019-07-31T13:14:36.12-07:00,3713504727,82073438465062354950873370571625325815,1068991498.1564603849,stg.procore.com,/en-au/legal/api-terms-and-conditions,testid-1234567890,Customer/Collaborator,1295,1
