Test URL (url),Report Suite (rs),Status Code (status),Page Name (pageName),Site Section (ch),Server (server),Hit Type (v1),Timestamp (v2),Pageview ID (v3),Adobe Analytics ID (v5),Google Analytics ID (v6),Page Protocol (v13),Page Domain (v14),Page Path (v15),Page Query String (v16),Page Fragment (v17),Procore ID (v35),Procore User Type (v36),Event Type (v42),Event Name (v43),Event Label (v44),Event Count (v45),Custom Event Count (event18)
https://www.procore.com/,procoreprod2,200,www.procore.com|US|Home,Home,www.procore.com,Custom Event,2020-02-06T16:56:48.761-08:00,4581545726,88384212872544261051154637826826683353,1022827805.1581037003,https:,www.procore.com,/,,,testid-1234567890,Customer/Collaborator,test type,test name,test label,+1,1
https://www.procore.com/about,procoreprod2,200,www.procore.com|US|Company|About,Company|About,www.procore.com,Custom Event,2020-02-06T16:56:52.523-08:00,6611516535,88384212872544261051154637826826683353,1022827805.1581037003,https:,www.procore.com,/about,,,testid-1234567890,Customer/Collaborator,test type,test name,test label,+1,1
https://www.procore.com/blueprint,procoreprod2,200,www.procore.com|US|Resource|Blueprint,Resource|Blueprint,www.procore.com,Custom Event,2020-02-06T16:56:55.802-08:00,6079118008,88384212872544261051154637826826683353,1022827805.1581037003,https:,www.procore.com,/blueprint,,,testid-1234567890,Customer/Collaborator,test type,test name,test label,+1,1
https://www.procore.com/buildersclub,procoreprod2,200,www.procore.com|US|Resource|Builders Club,Resource|Builders Club,www.procore.com,Custom Event,2020-02-06T16:56:58.898-08:00,6819628868,88384212872544261051154637826826683353,1022827805.1581037003,https:,www.procore.com,/buildersclub,,,testid-1234567890,Customer/Collaborator,test type,test name,test label,+1,1
https://www.procore.com/certification,procoreprod2,200,www.procore.com|US|Resource|Certification,Resource|Certification,www.procore.com,Custom Event,2020-02-06T16:57:01.972-08:00,9655035277,88384212872544261051154637826826683353,1022827805.1581037003,https:,www.procore.com,/certification,,,testid-1234567890,Customer/Collaborator,test type,test name,test label,+1,1
https://www.procore.com/project-financials,procoreprod2,200,www.procore.com|US|Product|Project Financials|Overview,Product|Project Financials|Overview,www.procore.com,Custom Event,2020-02-06T16:57:05.815-08:00,3760182898,88384212872544261051154637826826683353,1022827805.1581037003,https:,www.procore.com,/project-financials,,#fragment,testid-1234567890,Customer/Collaborator,test type,test name,test label,+1,1
https://www.procore.com/accounting-integrations,procoreprod2,200,www.procore.com|US|Product|Accounting Integrations|Overview,Product|Accounting Integrations|Overview,www.procore.com,Custom Event,2020-02-06T16:57:09.618-08:00,5851143567,88384212872544261051154637826826683353,1022827805.1581037003,https:,www.procore.com,/accounting-integrations,,,testid-1234567890,Customer/Collaborator,test type,test name,test label,+1,1
https://www.procore.com/continuing-education,procoreprod2,200,www.procore.com|US|Resource|Continuing Education,Resource|Continuing Education,www.procore.com,Custom Event,2020-02-06T16:57:12.454-08:00,4852376726,88384212872544261051154637826826683353,1022827805.1581037003,https:,www.procore.com,/continuing-education,,,testid-1234567890,Customer/Collaborator,test type,test name,test label,+1,1
https://www.procore.com/demo,procoreprod2,200,www.procore.com|US|Landing Page|Demo,Landing Page|Demo,www.procore.com,Custom Event,2020-02-06T16:57:15.482-08:00,3668176626,88384212872544261051154637826826683353,1022827805.1581037003,https:,www.procore.com,/demo,,,testid-1234567890,Customer/Collaborator,test type,test name,test label,+1,1
https://www.procore.com/en-au,procoreprod2,200,www.procore.com|AU|Home,Home,www.procore.com,Custom Event,2020-02-06T16:57:18.292-08:00,5276254235,88384212872544261051154637826826683353,1022827805.1581037003,https:,www.procore.com,/en-au,,,testid-1234567890,Customer/Collaborator,test type,test name,test label,+1,1
https://www.procore.com/en-au/about,procoreprod2,200,www.procore.com|AU|Company|About,Company|About,www.procore.com,Custom Event,2020-02-06T16:57:21.831-08:00,8889487287,88384212872544261051154637826826683353,1022827805.1581037003,https:,www.procore.com,/en-au/about,,,testid-1234567890,Customer/Collaborator,test type,test name,test label,+1,1
https://www.procore.com/en-au/blueprint,procoreprod2,200,www.procore.com|AU|Resource|Blueprint,Resource|Blueprint,www.procore.com,Custom Event,2020-02-06T16:57:35.601-08:00,5950431037,88384212872544261051154637826826683353,1022827805.1581037003,https:,www.procore.com,/en-au/blueprint,,,testid-1234567890,Customer/Collaborator,test type,test name,test label,+1,1
