Test URL (url),Report Suite (rs),Status Code (status),Page Name (pageName),Site Section (ch),Server (server),Hit Type (v1),Timestamp (v2),Pageview ID (v3),Adobe Analytics ID (v5),Google Analytics ID (v6),Page Protocol (v13),Page Domain (v14),Page Path (v15),Page Query String (v16),Page Fragment (v17),Page Height (v19),Page Percent Viewed (v20),Procore ID (v35),Procore User Type (v36),Tab Focus Count (v41),Form ID (v50),Form Inputs (v51),Form Input Count (v52),Form Selected Count (v53),Chat Online (v55),Chat Team Available (v56),Chat Visible (v57),Chat Covnersation ID (v58),Chat Playbook ID (v59),Chat Campaign ID (v60),Form Errors (c14),Form Interaction Path (c16),Forms On Page (c17),Redirect Timing (event1),App cache Timing (event2),DNS Timing (event3),TCP Timing (event4),Request Timing (event5),Response Timing (event6),Processing Timing (event7),On Load Timing (event8),Page Load Timing (event9),Page Scrolled 10% (event10),Page Scrolled 25% (event11),Page Scrolled 50% (event12),Page Scrolled 75% (event13),Page Scrolled 95% (event14),Page Scrolled 100% (event15),Tab Click (event17),Form Start (event20),Form Complete (event21),Form Error Count (event22),Form Selected Count (event23),Sidebar Opened (event34),Sidebar Closed (event35),Playbook Clicked (event36),Playbook Dismissed (event37),Conversation Started (event38),Message Sent (event39),Message Receieved (event40),Email Captured (event41),Phone Captured (event42),Meeting Requested (event43),Meeting Booked (event44),Forms On Page (event45)
https://www.procore.com/en-au/engineering?utm_medium=Social&utm_source=LinkedIn&utm_campaign=BRD&utm_term=Organic&utm_content=Jobsite_Constructions-up-and-coming-tech,procoreprod2,200,www.procore.com|AU|Company|Engineering,Company|Engineering,www.procore.com,Before Unload,2020-02-06T16:58:30.683-08:00,6549899890,88384212872544261051154637826826683353,1022827805.1581037003,https:,www.procore.com,/en-au/engineering,?utm_medium=Social&utm_source=LinkedIn&utm_campaign=BRD&utm_term=Organic&utm_content=Jobsite_Constructions-up-and-coming-tech,,1683,36,testid-1234567890,Customer/Collaborator,,,,,,,,,,,,,,,2,1,1,1,210,173,2556,12,2795,1,1,,,,,,,,,,,,,,,,,,,,,
https://www.procore.com/demo,procoreprod2,200,www.procore.com|US|Landing Page|Demo,Landing Page|Demo,www.procore.com,Before Unload,2020-02-06T16:58:37.920-08:00,8924870724,88384212872544261051154637826826683353,1022827805.1581037003,https:,www.procore.com,/demo,,,2921,51,testid-1234567890,Customer/Collaborator,,,,,,Online,Available,Visible,,,,,,4876,2,1,1,1,128,1,2459,36,2641,1,1,1,,,,,,,,,,,,,,,,,,,,1
https://www.procore.com/demo-thank-you,procoreprod2,200,www.procore.com|US|Landing Page|Thank you page,Landing Page|Thank you page,www.procore.com,Before Unload,2020-02-06T16:58:40.236-08:00,6652200946,88384212872544261051154637826826683353,1022827805.1581037003,https:,www.procore.com,/demo-thank-you,,,2456,24,testid-1234567890,Customer/Collaborator,,,,,,,,,,,,,,,4,1,1,1,133,1,2116,15,2289,1,,,,,,,,,,,,,,,,,,,,,,
https://www.procore.com/en-au/events,procoreprod2,200,www.procore.com|AU|Event|Industry Events,Event|Industry Events,www.procore.com,Before Unload,2020-02-06T16:58:43.661-08:00,8335759826,88384212872544261051154637826826683353,1022827805.1581037003,https:,www.procore.com,/en-au/events,,,2108,100,testid-1234567890,Customer/Collaborator,,,,,,,,,,,,,,,4,1,1,1,279,1,2734,13,3062,1,1,1,1,1,1,,,,,,,,,,,,,,,,,
https://www.procore.com/en-au/field-productivity,procoreprod2,200,www.procore.com|AU|Product|Field Productivity|Overview,Product|Field Productivity|Overview,www.procore.com,Before Unload,2020-02-06T16:58:46.737-08:00,6634575510,88384212872544261051154637826826683353,1022827805.1581037003,https:,www.procore.com,/en-au/field-productivity,,,6250,10,testid-1234567890,Customer/Collaborator,,,,,,,,,,,,,,,2,1,1,1,379,1,2498,13,2909,1,,,,,,,,,,,,,,,,,,,,,,
https://www.procore.com/demo,procoreprod2,200,www.procore.com|US|Landing Page|Demo,Landing Page|Demo,www.procore.com,Before Unload,2020-02-06T16:58:52.762-08:00,5120502787,88384212872544261051154637826826683353,1022827805.1581037003,https:,www.procore.com,/demo,,,2955,51,testid-1234567890,Customer/Collaborator,,4876,FirstName|LastName|Email|Company,4,+5,Online,Available,Visible,,,,Email,FirstName|LastName|Company|mktoButton|Email|submit,4876,1,1,1,1,134,1,2479,26,2655,1,1,1,,,,,1,,1,5,,,,,,,,,,,,1
https://www.procore.com/en-au/field-productivity/crews,procoreprod2,200,www.procore.com|AU|Other|Field Productivity|Crews,Other|Field Productivity|Crews,www.procore.com,Before Unload,2020-02-06T16:58:56.74-08:00,7233873594,88384212872544261051154637826826683353,1022827805.1581037003,https:,www.procore.com,/en-au/field-productivity/crews,,,3598,17,testid-1234567890,Customer/Collaborator,,,,,,Online,Available,Visible,,,,,,,2,1,1,1,357,1,2479,17,2870,1,,,,,,,,,,,,,,,,,,,,,,
https://www.procore.com/demo,procoreprod2,200,www.procore.com|US|Landing Page|Demo,Landing Page|Demo,www.procore.com,Before Unload,2020-02-06T16:59:02.206-08:00,3053366431,88384212872544261051154637826826683353,1022827805.1581037003,https:,www.procore.com,/demo,,,2955,51,testid-1234567890,Customer/Collaborator,,4876,FirstName|LastName|Email|Company,4,+5,Online,Available,Visible,,,,Email,FirstName|LastName|Company|mktoButton|Email|submit,4876,1,1,1,1,127,1,2505,28,2679,1,1,1,,,,,1,,1,5,,,,,,,,,,,,1
https://www.procore.com/en-au/innovation-lab,procoreprod2,200,www.procore.com|AU|Event|Innovation Lab,Event|Innovation Lab,www.procore.com,Before Unload,2020-02-06T16:59:05.313-08:00,7803434103,88384212872544261051154637826826683353,1022827805.1581037003,https:,www.procore.com,/en-au/innovation-lab,,,5879,10,testid-1234567890,Customer/Collaborator,,,,,,,,,,,,,,1213,2,1,1,1,296,1,2599,24,2936,1,,,,,,,,,,,,,,,,,,,,,,1
https://www.procore.com/demo,procoreprod2,200,www.procore.com|US|Landing Page|Demo,Landing Page|Demo,www.procore.com,Before Unload,2020-02-06T16:59:12.538-08:00,3899911354,88384212872544261051154637826826683353,1022827805.1581037003,https:,www.procore.com,/demo,,,2921,51,testid-1234567890,Customer/Collaborator,,,,,,Online,Available,Visible,,,,,,4876,2,1,1,1,126,1,2494,25,2668,1,1,1,,,,,,,,,,,,,,,,,,,,1
