Test URL (url),Report Suite (rs),Status Code (status),Page Name (pageName),Site Section (ch),Server (server),Hit Type (v1),Timestamp (v2),Pageview ID (v3),Adobe Analytics ID (v5),Google Analytics ID (v6),Page Protocol (v13),Page Domain (v14),Page Path (v15),Page Query String (v16),Page Fragment (v17),Procore ID (v35),Procore User Type (v36),Form ID (v50),Form Inputs (v51),Form Input Count (v52),Form Selected Count (v53),Form Errors (c14),Form Interaction Path (c16),Form Start (event20),Form Complete (event21),Form Error Count (event22),Form Selected Count (event23)
https://www.procore.com/demo,procoreprod2,200,www.procore.com|US|Landing Page|Demo,Landing Page|Demo,www.procore.com,Form Complete Event,2020-02-06T16:57:29.413-08:00,2632994657,88384212872544261051154637826826683353,1022827805.1581037003,https:,www.procore.com,/demo,,,testid-1234567890,Customer/Collaborator,4876,FirstName|LastName|Email|Company|Routing_Company_Type__c|Phone,6,+7,Email,FirstName|LastName|Phone|Company|mktoButton|Email|submit|mktoButton|submit,1,1,1,7
https://www.procore.com/demo,procoreprod2,200,www.procore.com|US|Landing Page|Demo,Landing Page|Demo,www.procore.com,Form Complete Event,2020-02-06T16:57:52.134-08:00,8825865910,88384212872544261051154637826826683353,1022827805.1581037003,https:,www.procore.com,/demo,,,testid-1234567890,Customer/Collaborator,4876,FirstName|LastName|Email|Company,4,+6,Email,FirstName|LastName|Company|mktoButton|Email|submit|mktoButton|submit,1,1,1,6
https://www.procore.com/demo,procoreprod2,200,www.procore.com|US|Landing Page|Demo,Landing Page|Demo,www.procore.com,Form Complete Event,2020-02-06T16:58:37.169-08:00,8924870724,88384212872544261051154637826826683353,1022827805.1581037003,https:,www.procore.com,/demo,,,testid-1234567890,Customer/Collaborator,4876,FirstName|LastName|Email|Company,4,+6,Email,FirstName|LastName|Company|mktoButton|Email|submit|mktoButton|submit,1,1,1,6
https://www.procore.com/demo,procoreprod2,200,www.procore.com|US|Landing Page|Demo,Landing Page|Demo,www.procore.com,Form Complete Event,2020-02-06T16:59:11.752-08:00,3899911354,88384212872544261051154637826826683353,1022827805.1581037003,https:,www.procore.com,/demo,,,testid-1234567890,Customer/Collaborator,4876,FirstName|LastName|Email|Company,4,+6,Email,FirstName|LastName|Company|mktoButton|Email|submit|mktoButton|submit,1,1,1,6
https://www.procore.com/demo,procoreprod2,200,www.procore.com|US|Landing Page|Demo,Landing Page|Demo,www.procore.com,Form Complete Event,2020-02-06T17:00:54.27-08:00,9728154469,88384212872544261051154637826826683353,1022827805.1581037003,https:,www.procore.com,/demo,,,testid-1234567890,Customer/Collaborator,4876,FirstName|LastName|Email|Company,4,+6,Email,FirstName|LastName|Company|mktoButton|Email|submit|mktoButton|submit,1,1,1,6
https://www.procore.com/demo,procoreprod2,200,www.procore.com|US|Landing Page|Demo,Landing Page|Demo,www.procore.com,Form Complete Event,2020-02-06T17:01:28.645-08:00,5215509848,88384212872544261051154637826826683353,1022827805.1581037003,https:,www.procore.com,/demo,,,testid-1234567890,Customer/Collaborator,4876,FirstName|LastName|Email|Company,4,+8,Email,FirstName|LastName|Company|mktoButton|Email|Email|submit|mktoButton|Email|submit,1,1,1,8
https://www.procore.com/demo,procoreprod2,200,www.procore.com|US|Landing Page|Demo,Landing Page|Demo,www.procore.com,Form Complete Event,2020-02-06T17:01:56.960-08:00,5027976671,88384212872544261051154637826826683353,1022827805.1581037003,https:,www.procore.com,/demo,,,testid-1234567890,Customer/Collaborator,4876,FirstName|LastName|Email|Company,4,+8,Email,FirstName|LastName|Company|mktoButton|Email|Email|submit|mktoButton|Email|submit,1,1,1,8
https://www.procore.com/demo,procoreprod2,200,www.procore.com|US|Landing Page|Demo,Landing Page|Demo,www.procore.com,Form Complete Event,2020-02-06T17:02:29.419-08:00,5969089076,88384212872544261051154637826826683353,1022827805.1581037003,https:,www.procore.com,/demo,,,testid-1234567890,Customer/Collaborator,4876,FirstName|LastName|Email|Company,4,+6,Email,FirstName|LastName|Company|mktoButton|Email|submit|mktoButton|submit,1,1,1,6
https://www.procore.com/demo,procoreprod2,200,www.procore.com|US|Landing Page|Demo,Landing Page|Demo,www.procore.com,Form Complete Event,2020-02-06T17:02:55.552-08:00,8039397758,88384212872544261051154637826826683353,1022827805.1581037003,https:,www.procore.com,/demo,,,testid-1234567890,Customer/Collaborator,4876,FirstName|LastName|Email|Company,4,+6,Email,FirstName|LastName|Company|mktoButton|Email|submit|mktoButton|submit,1,1,1,6
https://www.procore.com/demo,procoreprod2,200,www.procore.com|US|Landing Page|Demo,Landing Page|Demo,www.procore.com,Form Complete Event,2020-02-06T17:04:17.170-08:00,7249567265,88384212872544261051154637826826683353,1022827805.1581037003,https:,www.procore.com,/demo,,,testid-1234567890,Customer/Collaborator,4876,FirstName|LastName|Email|Company,4,+8,Email,FirstName|LastName|Company|mktoButton|Email|Email|submit|mktoButton|Email|submit,1,1,1,8
https://www.procore.com/demo,procoreprod2,200,www.procore.com|US|Landing Page|Demo,Landing Page|Demo,www.procore.com,Form Complete Event,2020-02-06T17:07:39.260-08:00,6317190267,88384212872544261051154637826826683353,1022827805.1581037003,https:,www.procore.com,/demo,,,testid-1234567890,Customer/Collaborator,4876,FirstName|LastName|Email|Company,4,+6,Email,FirstName|LastName|Company|mktoButton|Email|submit|mktoButton|submit,1,1,1,6
https://www.procore.com/demo,procoreprod2,200,www.procore.com|US|Landing Page|Demo,Landing Page|Demo,www.procore.com,Form Complete Event,2020-02-06T17:08:01.695-08:00,7032046396,88384212872544261051154637826826683353,1022827805.1581037003,https:,www.procore.com,/demo,,,testid-1234567890,Customer/Collaborator,4876,FirstName|LastName|Email|Company,4,+6,Email,FirstName|LastName|Company|mktoButton|Email|submit|mktoButton|submit,1,1,1,6
https://www.procore.com/demo,procoreprod2,200,www.procore.com|US|Landing Page|Demo,Landing Page|Demo,www.procore.com,Form Complete Event,2020-02-06T17:08:15.68-08:00,6495034524,88384212872544261051154637826826683353,1022827805.1581037003,https:,www.procore.com,/demo,,,testid-1234567890,Customer/Collaborator,4876,FirstName|LastName|Email|Company,4,+8,Email,FirstName|LastName|Company|mktoButton|Email|Email|submit|mktoButton|Email|submit,1,1,1,8
https://www.procore.com/demo,procoreprod2,200,www.procore.com|US|Landing Page|Demo,Landing Page|Demo,www.procore.com,Form Complete Event,2020-02-06T17:08:47.38-08:00,7661449463,88384212872544261051154637826826683353,1022827805.1581037003,https:,www.procore.com,/demo,,,testid-1234567890,Customer/Collaborator,4876,FirstName|LastName|Email|Company,4,+6,Email,FirstName|LastName|Company|mktoButton|Email|submit|mktoButton|submit,1,1,1,6
https://www.procore.com/demo,procoreprod2,200,www.procore.com|US|Landing Page|Demo,Landing Page|Demo,www.procore.com,Form Complete Event,2020-02-06T17:09:15.209-08:00,4295149027,88384212872544261051154637826826683353,1022827805.1581037003,https:,www.procore.com,/demo,,,testid-1234567890,Customer/Collaborator,4876,FirstName|LastName|Email|Company,4,+6,Email,FirstName|LastName|Company|mktoButton|Email|submit|mktoButton|submit,1,1,1,6
