Test URL (url),Report Suite (rs),Status Code (status),Page Name (pageName),Site Section (ch),Server (server),Hit Type (v1),Timestamp (v2),Pageview ID (v3),Adobe Analytics ID (v5),Google Analytics ID (v6),Page Domain (v14),Page Path (v15),Procore ID (v35),Procore User Type (v36),Form ID (v50),Form View (event46)
https://stg.procore.com/,procoredev,200,stg.procore.com|US|Home,Home,stg.procore.com,Form Viewed Event,2019-07-26T18:23:23.195-07:00,8339882814,59892010085114872292053933368487799092,1659192707.1564190603,stg.procore.com,/,,Prospect,4876,1
https://stg.procore.com/safety-qualified,procoredev,200,stg.procore.com|US|Resource|Safety Qualified,Resource|Safety Qualified,stg.procore.com,Form Viewed Event,2019-07-26T18:23:28.280-07:00,2166895587,59892010085114872292053933368487799092,1659192707.1564190603,stg.procore.com,/safety-qualified,testid-1234567890,Customer/Collaborator,4876,1
https://stg.procore.com/subcontractors,procoredev,200,stg.procore.com|US|Solution|Subcontractors,Solution|Subcontractors,stg.procore.com,Form Viewed Event,2019-07-26T18:23:32.287-07:00,8598166088,59892010085114872292053933368487799092,1659192707.1564190603,stg.procore.com,/subcontractors,testid-1234567890,Customer/Collaborator,4876,1
https://stg.procore.com/tour,procoredev,200,stg.procore.com|US|Marketing|Tour,Marketing|Tour,stg.procore.com,Form Viewed Event,2019-07-26T18:23:35.475-07:00,8274681877,59892010085114872292053933368487799092,1659192707.1564190603,stg.procore.com,/tour,testid-1234567890,Customer/Collaborator,1715,1
https://stg.procore.com/tour,procoredev,200,stg.procore.com|US|Marketing|Tour,Marketing|Tour,stg.procore.com,Form Viewed Event,2019-07-26T18:23:35.484-07:00,8274681877,59892010085114872292053933368487799092,1659192707.1564190603,stg.procore.com,/tour,testid-1234567890,Customer/Collaborator,4876,1
https://stg.procore.com/webinars,procoredev,200,stg.procore.com|US|Resource|Webinars|Overview,Resource|Webinars|Overview,stg.procore.com,Form Viewed Event,2019-07-26T18:23:39.934-07:00,8394611033,59892010085114872292053933368487799092,1659192707.1564190603,stg.procore.com,/webinars,testid-1234567890,Customer/Collaborator,4876,1
https://stg.procore.com/workshops,procoredev,200,stg.procore.com|US|Event|Workshops,Event|Workshops,stg.procore.com,Form Viewed Event,2019-07-26T18:23:42.669-07:00,1688670278,59892010085114872292053933368487799092,1659192707.1564190603,stg.procore.com,/workshops,testid-1234567890,Customer/Collaborator,4876,1
