Test URL (url),Report Suite (rs),Status Code (status),Page Name (pageName),Site Section (ch),Server (server),Hit Type (v1),Timestamp (v2),Pageview ID (v3),Adobe Analytics ID (v5),Google Analytics ID (v6),Page Domain (v14),Page Path (v15),Procore ID (v35),Procore User Type (v36),Form ID (v50),Form View (event46)
https://stg.procore.com/,procoredev,200,stg.procore.com|US|Home,Home,stg.procore.com,Form Viewed Event,2019-07-26T18:40:21.302-07:00,6257930848,44748389011964579820108344715376192766,66838540.1564191610,stg.procore.com,/,testid-1234567890,Customer/Collaborator,1295,1
https://stg.procore.com/?test=query-with-frag,procoredev,200,stg.procore.com|US|Home,Home,stg.procore.com,Form Viewed Event,2019-07-26T18:40:26.393-07:00,4469640060,44748389011964579820108344715376192766,66838540.1564191610,stg.procore.com,/,testid-1234567890,Customer/Collaborator,1295,1
https://stg.procore.com/certification,procoredev,200,stg.procore.com|US|Resource|Certification,Resource|Certification,stg.procore.com,Form Viewed Event,2019-07-26T18:40:39.416-07:00,2982744194,44748389011964579820108344715376192766,66838540.1564191610,stg.procore.com,/certification,testid-1234567890,Customer/Collaborator,1295,1
https://stg.procore.com/construction-financials,procoredev,200,stg.procore.com|US|Product|Construction Financials|Overview,Product|Construction Financials|Overview,stg.procore.com,Form Viewed Event,2019-07-26T18:40:42.165-07:00,6827972024,44748389011964579820108344715376192766,66838540.1564191610,stg.procore.com,/construction-financials,testid-1234567890,Customer/Collaborator,1295,1
https://stg.procore.com/construction-financials/accounting-integrations,procoredev,200,stg.procore.com|US|Product|Construction Financials|Accounting Integrations,Product|Construction Financials|Accounting Integrations,stg.procore.com,Form Viewed Event,2019-07-26T18:40:43.582-07:00,9020453048,44748389011964579820108344715376192766,66838540.1564191610,stg.procore.com,/construction-financials/accounting-integrations,testid-1234567890,Customer/Collaborator,1295,1
https://stg.procore.com/en-au,procoredev,200,stg.procore.com|AU|Home,Home,stg.procore.com,Form Viewed Event,2019-07-26T18:40:53.868-07:00,8399505602,44748389011964579820108344715376192766,66838540.1564191610,stg.procore.com,/en-au,testid-1234567890,Customer/Collaborator,1295,1
https://stg.procore.com/en-au,procoredev,200,stg.procore.com|AU|Home,Home,stg.procore.com,Form Viewed Event,2019-07-26T18:40:53.883-07:00,8399505602,44748389011964579820108344715376192766,66838540.1564191610,stg.procore.com,/en-au,testid-1234567890,Customer/Collaborator,4876,1
https://stg.procore.com/en-au/about,procoredev,200,stg.procore.com|AU|Company|About,Company|About,stg.procore.com,Form Viewed Event,2019-07-26T18:40:57.743-07:00,3440943288,44748389011964579820108344715376192766,66838540.1564191610,stg.procore.com,/en-au/about,testid-1234567890,Customer/Collaborator,4876,1
https://stg.procore.com/en-au/buildersclub,procoredev,200,stg.procore.com|AU|Resource|Builders Club,Resource|Builders Club,stg.procore.com,Form Viewed Event,2019-07-26T18:41:43.66-07:00,9476813132,44748389011964579820108344715376192766,66838540.1564191610,stg.procore.com,/en-au/buildersclub,testid-1234567890,Customer/Collaborator,1295,1
https://stg.procore.com/en-au/buildersclub,procoredev,200,stg.procore.com|AU|Resource|Builders Club,Resource|Builders Club,stg.procore.com,Form Viewed Event,2019-07-26T18:41:43.86-07:00,9476813132,44748389011964579820108344715376192766,66838540.1564191610,stg.procore.com,/en-au/buildersclub,testid-1234567890,Customer/Collaborator,4876,1
