Test URL (url),Report Suite (rs),Status Code (status),Page Name (pageName),Site Section (ch),Server (server),Hit Type (v1),Timestamp (v2),Pageview ID (v3),Adobe Analytics ID (v5),Google Analytics ID (v6),Page Domain (v14),Page Path (v15),Page Height (v19),Page Percent Viewed (v20),Procore ID (v35),Procore User Type (v36),Tab Focus Count (v41),Form ID (v50),Form Inputs (v51),Form Input Count (v52),Form Selected Count (v53),Chat Online (v55),Chat Team Available (v56),Chat Visible (v57),Chat Covnersation ID (v58),Chat Playbook ID (v59),Chat Campaign ID (v60),Form Errors (c14),Form Inputs (c15),Form Interaction Path (c16),Forms On Page (c17),Redirect Timing (event1),App cache Timing (event2),DNS Timing (event3),TCP Timing (event4),Request Timing (event5),Response Timing (event6),Processing Timing (event7),On Load Timing (event8),Page Load Timing (event9),Page Scrolled 10% (event10),Page Scrolled 25% (event11),Page Scrolled 50% (event12),Page Scrolled 75% (event13),Page Scrolled 95% (event14),Page Scrolled 100% (event15),Tab Click (event17),Form Start (event20),Form Complete (event21),Form Error Count (event22),Form Selected Count (event23),Sidebar Opened (event34),Sidebar Closed (event35),Playbook Clicked (event36),Playbook Dismissed (event37),Conversation Started (event38),Message Sent (event39),Message Receieved (event40),Email Captured (event41),Phone Captured (event42),Meeting Requested (event43),Meeting Booked (event44),Forms On Page (event45)
https://stg.procore.com/,procoredev,200,stg.procore.com|US|Home,Home,stg.procore.com,Before Unload,2019-07-26T18:40:21.312-07:00,6257930848,44748389011964579820108344715376192766,66838540.1564191610,stg.procore.com,/,7690,100,testid-1234567890,Customer/Collaborator,,,,,,Online,Available,Visible,934195621,446297,487584,,,,1295|4876,3,2,9,28,197,64,4691,12,4951,1,1,1,1,1,1,,,,,,1,1,1,,,1,4,,,,,2
https://stg.procore.com/?test=query,procoredev,200,stg.procore.com|US|Home,Home,stg.procore.com,Before Unload,2019-07-26T18:40:23.751-07:00,9300602594,44748389011964579820108344715376192766,66838540.1564191610,stg.procore.com,/,7652,8,testid-1234567890,Customer/Collaborator,,,,,,Online,Available,Visible,,,,,,,1295|4876,1,1,1,1,468,74,1545,11,2040,,,,,,,,,,,,,,,,,,,,,,,2
https://stg.procore.com/?test=query-with-frag,procoredev,200,stg.procore.com|US|Home,Home,stg.procore.com,Before Unload,2019-07-26T18:40:26.445-07:00,4469640060,44748389011964579820108344715376192766,66838540.1564191610,stg.procore.com,/,7680,100,testid-1234567890,Customer/Collaborator,,,,,,Online,Available,Visible,,,,,,,1295|4876,2,1,1,1,485,69,1289,8,1799,1,1,1,1,1,1,,,,,,,,,,,,,,,,,2
https://stg.procore.com/?utm_medium=Social&utm_source=LinkedIn&utm_campaign=BRD&utm_term=Organic&utm_content=Jobsite_Constructions-up-and-coming-tech,procoredev,200,stg.procore.com|US|Home,Home,stg.procore.com,Before Unload,2019-07-26T18:40:29.73-07:00,1574614085,44748389011964579820108344715376192766,66838540.1564191610,stg.procore.com,/,7652,8,testid-1234567890,Customer/Collaborator,,,,,,Online,Available,Visible,,,,,,,1295|4876,1,1,1,1,563,83,1604,9,2195,,,,,,,,,,,,,,,,,,,,,,,2
https://stg.procore.com/about,procoredev,200,stg.procore.com|US|Company|About,Company|About,stg.procore.com,Before Unload,2019-07-26T18:40:32.995-07:00,4158588636,44748389011964579820108344715376192766,66838540.1564191610,stg.procore.com,/about,7170,8,testid-1234567890,Customer/Collaborator,,4876,FirstName|LastName|Email|Phone|Company|Country|gDPRFormsConsent,7,+6,Online,Available,Visible,,,,Email|Country,FirstName|LastName|Email|Phone|Company|Country|gDPRFormsConsent,FirstName|LastName|Phone|Company|mktoButton|Email|submit,1295|4876,2,1,1,1,290,76,1563,3,1874,,,,,,,,1,,1,6,,,,,,,,,,,,2
https://stg.procore.com/blueprint,procoredev,200,stg.procore.com|US|Resource|Blueprint,Resource|Blueprint,stg.procore.com,Before Unload,2019-07-26T18:40:35.593-07:00,8679471466,44748389011964579820108344715376192766,66838540.1564191610,stg.procore.com,/blueprint,7571,8,testid-1234567890,Customer/Collaborator,,,,,,Online,Available,Visible,,,,,,,1295|4876,2,1,1,1,447,80,1705,8,2176,,,,,,,,,,,,,,,,,,,,,,,2
https://stg.procore.com/buildersclub,procoredev,200,stg.procore.com|US|Resource|Builders Club,Resource|Builders Club,stg.procore.com,Before Unload,2019-07-26T18:40:37.342-07:00,8765092225,44748389011964579820108344715376192766,66838540.1564191610,stg.procore.com,/buildersclub,3945,15,testid-1234567890,Customer/Collaborator,,,,,,Online,Available,Visible,,,,,,,1295|4876,1,1,1,1,119,74,872,6,1032,1,,,,,,,,,,,,,,,,,,,,,,2
https://stg.procore.com/certification,procoredev,200,stg.procore.com|US|Resource|Certification,Resource|Certification,stg.procore.com,Before Unload,2019-07-26T18:40:39.486-07:00,2982744194,44748389011964579820108344715376192766,66838540.1564191610,stg.procore.com,/certification,6189,100,testid-1234567890,Customer/Collaborator,,,,,,,,,,,,,,,1228|1295|4876,1,1,1,1,127,1,1596,4,1743,1,1,1,1,1,1,,,,,,,,,,,,,,,,,3
https://stg.procore.com/construction-financials,procoredev,200,stg.procore.com|US|Product|Construction Financials|Overview,Product|Construction Financials|Overview,stg.procore.com,Before Unload,2019-07-26T18:40:42.85-07:00,6827972024,44748389011964579820108344715376192766,66838540.1564191610,stg.procore.com,/construction-financials,5815,100,testid-1234567890,Customer/Collaborator,,,,,,,,,,,,,,,1295|4876,1,1,1,1,124,1,2013,4,2215,1,1,1,1,1,1,,,,,,,,,,,,,,,,,2
https://stg.procore.com/construction-financials/accounting-integrations,procoredev,200,stg.procore.com|US|Product|Construction Financials|Accounting Integrations,Product|Construction Financials|Accounting Integrations,stg.procore.com,Before Unload,2019-07-26T18:40:43.668-07:00,9020453048,44748389011964579820108344715376192766,66838540.1564191610,stg.procore.com,/construction-financials/accounting-integrations,9449,100,testid-1234567890,Customer/Collaborator,,,,,,,,,,,,,,,1295|4876,1,1,1,1,134,1,888,3,1066,1,1,1,1,1,1,,,,,,,,,,,,,,,,,2
https://stg.procore.com/continuing-education,procoredev,200,stg.procore.com|US|Resource|Continuing Education,Resource|Continuing Education,stg.procore.com,Before Unload,2019-07-26T18:40:48.95-07:00,4055903718,44748389011964579820108344715376192766,66838540.1564191610,stg.procore.com,/continuing-education,3941,15,testid-1234567890,Customer/Collaborator,,,,,,Online,Available,Visible,,,,,,,1295|4876,1,1,1,1,124,2,1048,5,1232,1,,,,,,,,,,,,,,,,,,,,,,2
https://stg.procore.com/demo-thank-you,procoredev,200,stg.procore.com|US|Marketing|Demo Thank You,Marketing|Demo Thank You,stg.procore.com,Before Unload,2019-07-26T18:40:49.321-07:00,8987230401,44748389011964579820108344715376192766,66838540.1564191610,stg.procore.com,/demo-thank-you,3024,20,testid-1234567890,Customer/Collaborator,,,,,,,,,,,,,,,,3,1,1,1,268,1,874,4,1162,1,,,,,,,,,,,,,,,,,,,,,,
https://stg.procore.com/demo,procoredev,200,stg.procore.com|US|Marketing|Demo,Marketing|Demo,stg.procore.com,Before Unload,2019-07-26T18:40:51.414-07:00,6129378962,44748389011964579820108344715376192766,66838540.1564191610,stg.procore.com,/demo,2721,22,testid-1234567890,Customer/Collaborator,,,,,,,,,,,,,,,4876|1295,1,1,1,1,132,72,1803,4,1949,1,,,,,,,,,,,,,,,,,,,,,,2
https://stg.procore.com/en-au,procoredev,200,stg.procore.com|AU|Home,Home,stg.procore.com,Before Unload,2019-07-26T18:40:53.808-07:00,8399505602,44748389011964579820108344715376192766,66838540.1564191610,stg.procore.com,/en-au,7016,100,testid-1234567890,Customer/Collaborator,,,,,,,,,,,,,,,,2,1,1,1,281,77,1681,4,2011,1,1,1,1,1,1,,,,,,,,,,,,,,,,,
https://stg.procore.com/en-au/about,procoredev,200,stg.procore.com|AU|Company|About,Company|About,stg.procore.com,Before Unload,2019-07-26T18:41:37.221-07:00,3440943288,44748389011964579820108344715376192766,66838540.1564191610,stg.procore.com,/en-au/about,7117,8,testid-1234567890,Customer/Collaborator,,4876,FirstName|LastName|Email|Phone|Company|Country|gDPRFormsConsent,7,+6,Online,Available,Visible,,,,Email|Country,FirstName|LastName|Email|Phone|Company|Country|gDPRFormsConsent,FirstName|LastName|Phone|Company|mktoButton|Email|submit,1295|4876,1,1,1,1,139,2,813,6,970,,,,,,,,1,,1,6,,,,,,,,,,,,2
https://stg.procore.com/en-au/blueprint,procoredev,200,stg.procore.com|AU|Resource|Blueprint,Resource|Blueprint,stg.procore.com,Before Unload,2019-07-26T18:41:39.561-07:00,6464996552,44748389011964579820108344715376192766,66838540.1564191610,stg.procore.com,/en-au/blueprint,7571,8,testid-1234567890,Customer/Collaborator,,,,,,Online,Available,Visible,,,,,,,1295|4876,2,1,1,1,279,78,1218,11,1555,,,,,,,,,,,,,,,,,,,,,,,2
https://stg.procore.com/en-au/buildersclub,procoredev,200,stg.procore.com|AU|Resource|Builders Club,Resource|Builders Club,stg.procore.com,Before Unload,2019-07-26T18:41:45.178-07:00,9476813132,44748389011964579820108344715376192766,66838540.1564191610,stg.procore.com,/en-au/buildersclub,3973,100,testid-1234567890,Customer/Collaborator,,4876,FirstName|LastName|Email|Phone|Company|Country|gDPRFormsConsent,7,+6,Online,Available,Visible,,,,Email|Country,FirstName|LastName|Email|Phone|Company|Country|gDPRFormsConsent,FirstName|LastName|Phone|Company|mktoButton|Email|submit,1295|4876,1,1,1,1,448,1,2359,9,2833,1,1,1,1,1,1,,1,,1,6,,,,,,,,,,,,2
https://stg.procore.com/en-au/certification,procoredev,200,stg.procore.com|AU|Resource|Certification,Resource|Certification,stg.procore.com,Before Unload,2019-07-26T18:41:47.784-07:00,2056639446,44748389011964579820108344715376192766,66838540.1564191610,stg.procore.com,/en-au/certification,6189,100,testid-1234567890,Customer/Collaborator,,,,,,,,,,,,,,,1228|1295|4876,1,1,1,1,288,1,1870,5,2179,1,1,1,1,1,1,,,,,,,,,,,,,,,,,3
https://stg.procore.com/en-au/construction-financials,procoredev,200,stg.procore.com|AU|Product|Construction Financials|Overview,Product|Construction Financials|Overview,stg.procore.com,Before Unload,2019-07-26T18:41:52.640-07:00,8457817483,44748389011964579820108344715376192766,66838540.1564191610,stg.procore.com,/en-au/construction-financials,5816,10,testid-1234567890,Customer/Collaborator,,,,,,Online,Available,Visible,,,,,,,1295|4876,1,1,1,1,360,1,986,6,1368,1,,,,,,,,,,,,,,,,,,,,,,2
https://stg.procore.com/en-au/demo-thank-you,procoredev,200,stg.procore.com|AU|Marketing|Demo Thank You,Marketing|Demo Thank You,stg.procore.com,Before Unload,2019-07-26T18:41:54.169-07:00,9684588454,44748389011964579820108344715376192766,66838540.1564191610,stg.procore.com,/en-au/demo-thank-you,2451,24,testid-1234567890,Customer/Collaborator,,,,,,,,,,,,,,,,3,1,1,1,443,1,1032,3,1496,1,,,,,,,,,,,,,,,,,,,,,,
https://stg.procore.com/en-au/construction-financials/accounting-integrations,procoredev,200,stg.procore.com|AU|Product|Construction Financials|Accounting Integrations,Product|Construction Financials|Accounting Integrations,stg.procore.com,Before Unload,2019-07-26T18:41:56.210-07:00,2918729766,44748389011964579820108344715376192766,66838540.1564191610,stg.procore.com,/en-au/construction-financials/accounting-integrations,9451,6,testid-1234567890,Customer/Collaborator,,,,,,Online,Available,Visible,,,,,,,1295|4876,2,1,1,1,292,71,1078,9,1392,,,,,,,,,,,,,,,,,,,,,,,2
https://stg.procore.com/en-au/continuing-education,procoredev,200,stg.procore.com|AU|Resource|Continuing Education,Resource|Continuing Education,stg.procore.com,Before Unload,2019-07-26T18:42:00.830-07:00,9653924875,44748389011964579820108344715376192766,66838540.1564191610,stg.procore.com,/en-au/continuing-education,3913,15,testid-1234567890,Customer/Collaborator,,4876,FirstName|LastName|Email|Phone|Company|Country|gDPRFormsConsent,7,+6,Online,Available,Visible,,,,Email|Country,FirstName|LastName|Email|Phone|Company|Country|gDPRFormsConsent,FirstName|LastName|Phone|Company|mktoButton|Email|submit,1295|4876,1,1,1,1,274,1,1896,6,2192,1,,,,,,,1,,1,6,,,,,,,,,,,,2
https://stg.procore.com/en-au/demo,procoredev,200,stg.procore.com|AU|Marketing|Demo,Marketing|Demo,stg.procore.com,Before Unload,2019-07-26T18:42:02.690-07:00,3337268702,44748389011964579820108344715376192766,66838540.1564191610,stg.procore.com,/en-au/demo,2933,20,testid-1234567890,Customer/Collaborator,,,,,,,,,,,,,,,4876|1295,1,1,1,1,267,2,1365,4,1652,1,,,,,,,,,,,,,,,,,,,,,,2
https://stg.procore.com/en-au/engineering,procoredev,200,stg.procore.com|AU|Company|Engineering,Company|Engineering,stg.procore.com,Before Unload,2019-07-26T18:42:04.270-07:00,8399584866,44748389011964579820108344715376192766,66838540.1564191610,stg.procore.com,/en-au/engineering,19521,3,testid-1234567890,Customer/Collaborator,,,,,,,,,,,,,,,,1,1,1,1,297,79,1001,8,1351,,,,,,,,,,,,,,,,,,,,,,,
https://stg.procore.com/en-au/events,procoredev,200,stg.procore.com|AU|Event|Industry Events,Event|Industry Events,stg.procore.com,Before Unload,2019-07-26T18:42:48.377-07:00,4889153232,44748389011964579820108344715376192766,66838540.1564191610,stg.procore.com,/en-au/events,870,69,testid-1234567890,Customer/Collaborator,,4876,FirstName|LastName|Email|Phone|Company|Country|gDPRFormsConsent,7,+6,Online,Available,Visible,,,,Email|Country,FirstName|LastName|Email|Phone|Company|Country|gDPRFormsConsent,FirstName|LastName|Phone|Company|mktoButton|submit|Email,1295|4876|adb-645188357,1,1,1,1,123,1,1497,4,1637,1,1,1,,,,,1,,1,6,,,,,,,,,,,,3
https://stg.procore.com/en-au/field-productivity,procoredev,200,stg.procore.com|AU|Product|Field Productivity|Overview,Product|Field Productivity|Overview,stg.procore.com,Before Unload,2019-07-26T18:42:50.593-07:00,6239755854,44748389011964579820108344715376192766,66838540.1564191610,stg.procore.com,/en-au/field-productivity,3396,18,testid-1234567890,Customer/Collaborator,,,,,,,,,,,,,,,1295|4876,2,1,1,1,267,1,1741,6,2058,1,,,,,,,,,,,,,,,,,,,,,,2
https://stg.procore.com/en-au/field-productivity/crews,procoredev,200,stg.procore.com|AU|Product|Field Productivity|Crews,Product|Field Productivity|Crews,stg.procore.com,Before Unload,2019-07-26T18:42:54.75-07:00,6752383973,44748389011964579820108344715376192766,66838540.1564191610,stg.procore.com,/en-au/field-productivity/crews,3672,16,testid-1234567890,Customer/Collaborator,,,,,,,,,,,,,,,1295|4876,1,1,1,1,285,1,3026,5,3333,1,,,,,,,,,,,,,,,,,,,,,,2
https://stg.procore.com/en-au/innovation-lab,procoredev,200,stg.procore.com|AU|Event|Innovation Lab,Event|Innovation Lab,stg.procore.com,Before Unload,2019-07-26T18:42:56.228-07:00,1846240724,44748389011964579820108344715376192766,66838540.1564191610,stg.procore.com,/en-au/innovation-lab,6603,9,testid-1234567890,Customer/Collaborator,,,,,,,,,,,,,,,1213|1295|4876,1,1,1,1,279,75,1661,4,2007,,,,,,,,,,,,,,,,,,,,,,,3
https://stg.procore.com/en-au/jobs,procoredev,200,stg.procore.com|AU|Company|Jobs,Company|Jobs,stg.procore.com,Before Unload,2019-07-26T18:42:58.482-07:00,2745495905,44748389011964579820108344715376192766,66838540.1564191610,stg.procore.com,/en-au/jobs,4376,100,testid-1234567890,Customer/Collaborator,,,,,,Online,Available,Visible,,,,,,,1295|4876,1,1,1,1,259,1,1212,7,1523,1,1,1,1,1,1,,,,,,,,,,,,,,,,,2
https://stg.procore.com/en-au/jobs/benefits,procoredev,200,stg.procore.com|AU|Company|Jobs|Benefits,Company|Jobs|Benefits,stg.procore.com,Before Unload,2019-07-26T18:43:03.33-07:00,5227474921,44748389011964579820108344715376192766,66838540.1564191610,stg.procore.com,/en-au/jobs/benefits,4416,100,testid-1234567890,Customer/Collaborator,,4876,FirstName|LastName|Email|Phone|Company|Country|gDPRFormsConsent,7,+6,Online,Available,Visible,,,,Email|Country,FirstName|LastName|Email|Phone|Company|Country|gDPRFormsConsent,FirstName|LastName|Phone|Company|mktoButton|Email|submit,1295|4876,1,1,1,1,128,1,1888,4,2039,1,1,1,1,1,1,,1,,1,6,,,,,,,,,,,,2
https://stg.procore.com/en-au/jobs/openings,procoredev,200,stg.procore.com|AU|Company|Jobs|Openings,Company|Jobs|Openings,stg.procore.com,Before Unload,2019-07-26T18:43:07.595-07:00,8309299854,44748389011964579820108344715376192766,66838540.1564191610,stg.procore.com,/en-au/jobs/openings,18624,3,testid-1234567890,Customer/Collaborator,,,,,,Online,Available,Visible,,,,,,,1295|4876,1,1,1,1,446,76,1049,4,1515,,,,,,,,,,,,,,,,,,,,,,,2
https://stg.procore.com/en-au/demo-thank-you,procoredev,200,stg.procore.com|AU|Marketing|Demo Thank You,Marketing|Demo Thank You,stg.procore.com,Before Unload,2019-07-26T18:43:09.411-07:00,5643042075,44748389011964579820108344715376192766,66838540.1564191610,stg.procore.com,/en-au/demo-thank-you,2451,24,testid-1234567890,Customer/Collaborator,,,,,,,,,,,,,,,1295,3,1,1,1,131,1,1575,6,1732,1,,,,,,,,,,,,,,,,,,,,,,1
https://stg.procore.com/en-au/jobs/openings/1056317,procoredev,200,stg.procore.com|US|Company|Jobs|Openings|1056317,Company|Jobs|Openings|1056317,stg.procore.com,Before Unload,2019-07-26T18:43:14.292-07:00,7197190215,44748389011964579820108344715376192766,66838540.1564191610,stg.procore.com,/en-au/jobs/openings/1056317,10674,6,testid-1234567890,Customer/Collaborator,,4876,FirstName|LastName|Email|Phone|Company|Country|gDPRFormsConsent,7,+6,Online,Available,Visible,,,,Email|Country,FirstName|LastName|Email|Phone|Company|Country|gDPRFormsConsent,FirstName|LastName|Phone|Company|mktoButton|Email|submit,1295|4876,1,1,1,1,303,72,2298,4,2618,,,,,,,,1,,1,6,,,,,,,,,,,,2
https://stg.procore.com/en-au/jobs/sales,procoredev,200,stg.procore.com|AU|Company|Jobs|Sales,Company|Jobs|Sales,stg.procore.com,Before Unload,2019-07-26T18:43:16.743-07:00,9497857301,44748389011964579820108344715376192766,66838540.1564191610,stg.procore.com,/en-au/jobs/sales,4460,100,testid-1234567890,Customer/Collaborator,,,,,,,,,,,,,,,1295|4876,1,1,1,1,287,1,1707,5,2018,1,1,1,1,1,1,,,,,,,,,,,,,,,,,2
https://stg.procore.com/en-au/legal,procoredev,200,stg.procore.com|AU|Company|Legal|Overview,Company|Legal|Overview,stg.procore.com,Before Unload,2019-07-26T18:43:19.89-07:00,5595038442,44748389011964579820108344715376192766,66838540.1564191610,stg.procore.com,/en-au/legal,1450,41,testid-1234567890,Customer/Collaborator,,,,,,Online,Available,Visible,,,,,,,1295|4876,1,1,1,1,129,1,1772,7,1961,1,1,,,,,,,,,,,,,,,,,,,,,2
https://stg.procore.com/en-au/legal/api-terms-and-conditions,procoredev,200,stg.procore.com|AU|Company|Legal|Api Terms And Conditions,Company|Legal|Api Terms And Conditions,stg.procore.com,Before Unload,2019-07-26T18:43:23.155-07:00,9961641832,44748389011964579820108344715376192766,66838540.1564191610,stg.procore.com,/en-au/legal/api-terms-and-conditions,22098,3,testid-1234567890,Customer/Collaborator,,4876,FirstName|LastName|Email|Phone|Company|Country|gDPRFormsConsent,7,+5,Online,Available,Visible,,,,,FirstName|LastName|Email|Phone|Company|Country|gDPRFormsConsent,FirstName|LastName|Phone|Company|mktoButton,1295|4876,1,1,1,1,131,75,1505,6,1657,,,,,,,,1,,,5,,,,,,,,,,,,2
https://stg.procore.com/en-au/partners,procoredev,200,stg.procore.com|AU|Resource|Partners,Resource|Partners,stg.procore.com,Before Unload,2019-07-26T18:43:25.923-07:00,3461151216,44748389011964579820108344715376192766,66838540.1564191610,stg.procore.com,/en-au/partners,5731,10,testid-1234567890,Customer/Collaborator,,,,,,,,,,,,,,,1225|1295|4876,1,1,1,1,467,1,2099,5,2586,1,,,,,,,,,,,,,,,,,,,,,,3
https://stg.procore.com/en-au/platform,procoredev,200,stg.procore.com|AU|Product|Platform|Overview,Product|Platform|Overview,stg.procore.com,Before Unload,2019-07-26T18:43:28.406-07:00,5828354580,44748389011964579820108344715376192766,66838540.1564191610,stg.procore.com,/en-au/platform,4799,13,testid-1234567890,Customer/Collaborator,,,,,,,,,,,,,,,1295|4876,2,1,1,1,132,1,2159,5,2335,1,,,,,,,,,,,,,,,,,,,,,,2
https://stg.procore.com/en-au/press,procoredev,200,stg.procore.com|AU|Company|Press|Overview,Company|Press|Overview,stg.procore.com,Before Unload,2019-07-26T18:43:30.278-07:00,7193630520,44748389011964579820108344715376192766,66838540.1564191610,stg.procore.com,/en-au/press,13898,4,testid-1234567890,Customer/Collaborator,,,,,,,,,,,,,,,1295|4876,1,1,1,1,124,71,1536,4,1722,,,,,,,,,,,,,,,,,,,,,,,2
https://stg.procore.com/en-au/press/habitat-for-humanity-and-procore-partner-for-a-brush-with-kindness,procoredev,200,stg.procore.com|AU|Company|Press|Habitat For Humanity And Procore Partner For A Brush With Kindness,Company|Press|Habitat For Humanity And Procore Partner For A Brush With Kindness,stg.procore.com,Before Unload,2019-07-26T18:43:31.350-07:00,8027306174,44748389011964579820108344715376192766,66838540.1564191610,stg.procore.com,/en-au/press/habitat-for-humanity-and-procore-partner-for-a-brush-with-kindness,3135,19,testid-1234567890,Customer/Collaborator,,,,,,,,,,,,,,,1295|4876,1,1,1,1,129,1,772,6,924,1,,,,,,,,,,,,,,,,,,,,,,2
