Test URL (url),Report Suite (rs),Status Code (status),Page Name (pageName),Site Section (ch),Server (server),Campaign (v0),Hit Type (v1),Timestamp (v2),Pageview ID (v3),Library Version (v4),Adobe Analytics ID (v5),Google Analytics ID (v6),Site Country (v7),Previous Page Name (v8),Previous Page URL (v9),Page Type (v10),Page Protocol (v13),Page Domain (v14),Page Path (v15),Page Query String (v16),Page Fragment (v17),Page Document Title (v18),Personalization Variants (v32),Procore ID (v35),Procore User Type (v36),Navigation Type (v37),Tab ID (v38),Tab Type (v39),Tab Count (v40),Page Name (v61),Page Document Title (c2),Personlization Variant (c4),Navigation Type (c7),Tab ID (c8),Tab Type (c9),Redirect Count (event16)
https://stg.procore.com/,procoredev,200,stg.procore.com|US|Home,Home,stg.procore.com,|||||,Pageview,2019-07-28T01:33:22.911-07:00,9636707439,2.15.0|4.4.0|staging|25.6.0|2019-07-28T07:57:14Z,,,US,,,Home,https:,stg.procore.com,/,,,Procore – World's Leading Construction Management Software,Default,,Prospect,NAVIGATE,a6d4b2f3-1b59-4fb0-b04f-c6c7578e85b8,New,1,stg.procore.com|US|Home,Procore – World's Leading Construction Management Software,Default,NAVIGATE,a6d4b2f3-1b59-4fb0-b04f-c6c7578e85b8,New,
https://stg.procore.com/about,procoredev,200,stg.procore.com|US|Company|About,Company|About,stg.procore.com,|||||,Pageview,2019-07-28T01:33:35.68-07:00,2260493998,2.15.0|4.4.0|staging|25.6.0|2019-07-28T07:57:14Z,56143371873263954633233570795430461107,2071234411.1564302804,US,stg.procore.com|US|Home,stg.procore.com/,Default Page,https:,stg.procore.com,/about,,,The #1 Most Used Construction Management Software,Default,testid-1234567890,Customer/Collaborator,NAVIGATE,a6d4b2f3-1b59-4fb0-b04f-c6c7578e85b8,Existing,1,stg.procore.com|US|Company|About,The #1 Most Used Construction Management Software,Default,NAVIGATE,a6d4b2f3-1b59-4fb0-b04f-c6c7578e85b8,Existing,
https://stg.procore.com/blueprint,procoredev,200,stg.procore.com|US|Resource|Blueprint,Resource|Blueprint,stg.procore.com,|||||,Pageview,2019-07-28T01:33:38.191-07:00,1421419428,2.15.0|4.4.0|staging|25.6.0|2019-07-28T07:57:14Z,56143371873263954633233570795430461107,2071234411.1564302804,US,stg.procore.com|US|Company|About,stg.procore.com/about,Default Page,https:,stg.procore.com,/blueprint,,,Award-Winning Customer Implementation and Support,Default,testid-1234567890,Customer/Collaborator,NAVIGATE,a6d4b2f3-1b59-4fb0-b04f-c6c7578e85b8,Existing,1,stg.procore.com|US|Resource|Blueprint,Award-Winning Customer Implementation and Support,Default,NAVIGATE,a6d4b2f3-1b59-4fb0-b04f-c6c7578e85b8,Existing,
https://stg.procore.com/demo-thank-you,procoredev,200,stg.procore.com|US|Marketing|Demo Thank You,Marketing|Demo Thank You,stg.procore.com,|||||,Pageview,2019-07-28T01:33:46.783-07:00,1620345894,2.15.0|4.4.0|staging|25.6.0|2019-07-28T07:57:14Z,56143371873263954633233570795430461107,2071234411.1564302804,US,stg.procore.com|US|Resource|Blueprint,stg.procore.com/blueprint,Default Page,https:,stg.procore.com,/demo-thank-you,,#demo,Thank You for Requesting a Demo | Procore,Default,testid-1234567890,Customer/Collaborator,NAVIGATE,a6d4b2f3-1b59-4fb0-b04f-c6c7578e85b8,Existing,1,stg.procore.com|US|Marketing|Demo Thank You,Thank You for Requesting a Demo | Procore,Default,NAVIGATE,a6d4b2f3-1b59-4fb0-b04f-c6c7578e85b8,Existing,
https://stg.procore.com/buildersclub,procoredev,200,stg.procore.com|US|Resource|Builders Club,Resource|Builders Club,stg.procore.com,|||||,Pageview,2019-07-28T01:33:49.170-07:00,8121143782,2.15.0|4.4.0|staging|25.6.0|2019-07-28T07:57:14Z,56143371873263954633233570795430461107,2071234411.1564302804,US,stg.procore.com|US|Marketing|Demo Thank You,stg.procore.com/demo-thank-you,Default Page,https:,stg.procore.com,/buildersclub,,#fragment,Builder's Club - Procore's Rewards Program for Professionals,Default,testid-1234567890,Customer/Collaborator,NAVIGATE,a6d4b2f3-1b59-4fb0-b04f-c6c7578e85b8,Existing,1,stg.procore.com|US|Resource|Builders Club,Builder's Club - Procore's Rewards Program for Professionals,Default,NAVIGATE,a6d4b2f3-1b59-4fb0-b04f-c6c7578e85b8,Existing,
https://stg.procore.com/certification,procoredev,200,stg.procore.com|US|Resource|Certification,Resource|Certification,stg.procore.com,|||||,Pageview,2019-07-28T01:34:01.94-07:00,5472075470,2.15.0|4.4.0|staging|25.6.0|2019-07-28T07:57:14Z,56143371873263954633233570795430461107,2071234411.1564302804,US,stg.procore.com|US|Resource|Builders Club,stg.procore.com/buildersclub,Default Page,https:,stg.procore.com,/certification,,#fragment,Get Your Procore Certification,Default,testid-1234567890,Customer/Collaborator,NAVIGATE,a6d4b2f3-1b59-4fb0-b04f-c6c7578e85b8,Existing,1,stg.procore.com|US|Resource|Certification,Get Your Procore Certification,Default,NAVIGATE,a6d4b2f3-1b59-4fb0-b04f-c6c7578e85b8,Existing,
https://stg.procore.com/construction-financials,procoredev,200,stg.procore.com|US|Product|Construction Financials|Overview,Product|Construction Financials|Overview,stg.procore.com,|||||,Pageview,2019-07-28T01:34:04.941-07:00,6367178626,2.15.0|4.4.0|staging|25.6.0|2019-07-28T07:57:14Z,56143371873263954633233570795430461107,2071234411.1564302804,US,stg.procore.com|US|Resource|Certification,stg.procore.com/certification,Overview,https:,stg.procore.com,/construction-financials,,,Construction Financial Management Software | Procore,Default,testid-1234567890,Customer/Collaborator,NAVIGATE,a6d4b2f3-1b59-4fb0-b04f-c6c7578e85b8,Existing,1,stg.procore.com|US|Product|Construction Financials|Overview,Construction Financial Management Software | Procore,Default,NAVIGATE,a6d4b2f3-1b59-4fb0-b04f-c6c7578e85b8,Existing,
https://stg.procore.com/construction-financials/accounting-integrations?utm_medium=Social&utm_source=LinkedIn&utm_campaign=BRD&utm_term=Organic&utm_content=Jobsite_Constructions-up-and-coming-tech,procoredev,200,stg.procore.com|US|Product|Construction Financials|Accounting Integrations,Product|Construction Financials|Accounting Integrations,stg.procore.com,|BRD|LinkedIn|Social|Organic|Jobsite_Constructions-up-and-coming-tech,Pageview,2019-07-28T01:34:08.815-07:00,6282289627,2.15.0|4.4.0|staging|25.6.0|2019-07-28T07:57:14Z,56143371873263954633233570795430461107,2071234411.1564302804,US,stg.procore.com|US|Product|Construction Financials|Overview,stg.procore.com/construction-financials,Tool,https:,stg.procore.com,/construction-financials/accounting-integrations,?utm_medium=Social&utm_source=LinkedIn&utm_campaign=BRD&utm_term=Organic&utm_content=Jobsite_Constructions-up-and-coming-tech,,Construction Accounting Integrations | Procore,Default,testid-1234567890,Customer/Collaborator,NAVIGATE,a6d4b2f3-1b59-4fb0-b04f-c6c7578e85b8,Existing,1,stg.procore.com|US|Product|Construction Financials|Accounting Integrations,Construction Accounting Integrations | Procore,Default,NAVIGATE,a6d4b2f3-1b59-4fb0-b04f-c6c7578e85b8,Existing,
https://stg.procore.com/continuing-education,procoredev,200,stg.procore.com|US|Resource|Continuing Education,Resource|Continuing Education,stg.procore.com,|||||,Pageview,2019-07-28T01:34:10.707-07:00,1758935278,2.15.0|4.4.0|staging|25.6.0|2019-07-28T07:57:14Z,56143371873263954633233570795430461107,2071234411.1564302804,US,stg.procore.com|US|Product|Construction Financials|Accounting Integrations,stg.procore.com/construction-financials/accounting-integrations,Default Page,https:,stg.procore.com,/continuing-education,,,Obtain Free Continuing Education Units Through Procore,Default,testid-1234567890,Customer/Collaborator,NAVIGATE,a6d4b2f3-1b59-4fb0-b04f-c6c7578e85b8,Existing,1,stg.procore.com|US|Resource|Continuing Education,Obtain Free Continuing Education Units Through Procore,Default,NAVIGATE,a6d4b2f3-1b59-4fb0-b04f-c6c7578e85b8,Existing,
https://stg.procore.com/demo,procoredev,200,stg.procore.com|US|Marketing|Demo,Marketing|Demo,stg.procore.com,|||||,Pageview,2019-07-28T01:34:16.963-07:00,2831268619,2.15.0|4.4.0|staging|25.6.0|2019-07-28T07:57:14Z,56143371873263954633233570795430461107,2071234411.1564302804,US,stg.procore.com|US|Resource|Continuing Education,stg.procore.com/continuing-education,Demo Page,https:,stg.procore.com,/demo,,,Request a Demo | Procore,Default,testid-1234567890,Customer/Collaborator,NAVIGATE,a6d4b2f3-1b59-4fb0-b04f-c6c7578e85b8,Existing,1,stg.procore.com|US|Marketing|Demo,Request a Demo | Procore,Default,NAVIGATE,a6d4b2f3-1b59-4fb0-b04f-c6c7578e85b8,Existing,
