Test URL (url),Report Suite (rs),Status Code (status),Page Name (pageName),Site Section (ch),Server (server),Hit Type (v1),Timestamp (v2),Pageview ID (v3),Adobe Analytics ID (v5),Google Analytics ID (v6),Page Domain (v14),Page Path (v15),Page Height (v19),Page Percent Viewed (v20),Procore ID (v35),Procore User Type (v36),Tab Focus Count (v41),Form ID (v50),Form Inputs (v51),Form Input Count (v52),form Input Selected Count (v53),Chat Online (v55),Chat Team Available (v56),Chat Visible (v57),Chat Covnersation ID (v58),Chat Playbook ID (v59),Chat Campaign ID (v60),Form Errors (c14),Form Inputs (c15),Form Interaction Path (c16),Redirect Timing (event1),App cache Timing (event2),DNS Timing (event3),TCP Timing (event4),Request Timing (event5),Response Timing (event6),Processing Timing (event7),On Load Timing (event8),Page Load Timing (event9),Page Scrolled 10% (event10),Page Scrolled 25% (event11),Page Scrolled 50% (event12),Page Scrolled 75% (event13),Page Scrolled 95% (event14),Page Scrolled 100% (event15),Tab Click (event17),Form Start (event20),Form Complete (event21),Form Error Count (event22),Form Selected Count (event23),Sidebar Opened (event34),Sidebar Closed (event35),Playbook Clicked (event36),Playbook Dismissed (event37),Conversation Started (event38),Message Sent (event39),Message Receieved (event40),Email Captured (event41),Phone Captured (event42),Meeting Requested (event43),Meeting Booked (event44)
https://stg.procore.com/,procoredev,200,stg.procore.com|US|Home,Home,stg.procore.com,Before Unload,2019-07-26T16:44:40.792-07:00,3918718888,44173911486378153582234465531919176798,62032644.1564184672,stg.procore.com,/,7690,100,testid-1234567890,Customer/Collaborator,,,,,,Online,Available,Visible,934018792,446297,487584,,,,5,4,38,27,212,71,2338,12,2649,1,1,1,1,1,1,,,,,,1,1,1,,,1,4,,,,
https://stg.procore.com/?test=query,procoredev,200,stg.procore.com|US|Home,Home,stg.procore.com,Before Unload,2019-07-26T16:44:43.724-07:00,5762092505,44173911486378153582234465531919176798,62032644.1564184672,stg.procore.com,/,7680,100,testid-1234567890,Customer/Collaborator,,,,,,Online,Available,Visible,,,,,,,2,1,1,1,670,4,1508,8,2205,1,1,1,1,1,1,,,,,,,,,,,,,,,,
https://stg.procore.com/?test=query-with-frag,procoredev,200,stg.procore.com|US|Home,Home,stg.procore.com,Before Unload,2019-07-26T16:44:52.70-07:00,2089088359,44173911486378153582234465531919176798,62032644.1564184672,stg.procore.com,/,7690,100,testid-1234567890,Customer/Collaborator,,4876,,,+7,Online,Available,Visible,,,,Country,,FirstName|LastName|Email|Phone|Company|mktoButton|Country|submit,1,1,1,1,520,81,1444,7,1987,1,1,1,1,1,1,,1,,1,7,,,,,,,,,,,
https://stg.procore.com/?utm_medium=Social&utm_source=LinkedIn&utm_campaign=BRD&utm_term=Organic&utm_content=Jobsite_Constructions-up-and-coming-tech,procoredev,200,stg.procore.com|US|Home,Home,stg.procore.com,Before Unload,2019-07-26T16:44:54.722-07:00,2814164804,44173911486378153582234465531919176798,62032644.1564184672,stg.procore.com,/,7680,100,testid-1234567890,Customer/Collaborator,,,,,,Online,Available,Visible,,,,,,,1,1,1,1,637,78,974,7,1634,1,1,1,1,1,1,,,,,,,,,,,,,,,,
https://stg.procore.com/about,procoredev,200,stg.procore.com|US|Company|About,Company|About,stg.procore.com,Before Unload,2019-07-26T16:45:02.254-07:00,6604394306,44173911486378153582234465531919176798,62032644.1564184672,stg.procore.com,/about,7198,100,testid-1234567890,Customer/Collaborator,,4876,,,+7,Online,Available,Visible,,,,Country,,FirstName|LastName|Email|Phone|Company|mktoButton|Country|submit,1,1,1,1,297,74,858,7,1177,1,1,1,1,1,1,,1,,1,7,,,,,,,,,,,
https://stg.procore.com/blueprint,procoredev,200,stg.procore.com|US|Resource|Blueprint,Resource|Blueprint,stg.procore.com,Before Unload,2019-07-26T16:45:05.182-07:00,5999787869,44173911486378153582234465531919176798,62032644.1564184672,stg.procore.com,/blueprint,7599,100,testid-1234567890,Customer/Collaborator,,,,,,Online,Available,Visible,,,,,,,1,1,1,1,369,1,1757,7,2149,1,1,1,1,1,1,,,,,,,,,,,,,,,,
https://stg.procore.com/buildersclub,procoredev,200,stg.procore.com|US|Resource|Builders Club,Resource|Builders Club,stg.procore.com,Before Unload,2019-07-26T16:45:07.937-07:00,8475667477,44173911486378153582234465531919176798,62032644.1564184672,stg.procore.com,/buildersclub,3973,100,testid-1234567890,Customer/Collaborator,,,,,,Online,Available,Visible,,,,,,,2,1,1,1,304,76,1612,11,1942,1,1,1,1,1,1,,,,,,,,,,,,,,,,
https://stg.procore.com/certification,procoredev,200,stg.procore.com|US|Resource|Certification,Resource|Certification,stg.procore.com,Before Unload,2019-07-26T16:45:10.152-07:00,6576700616,44173911486378153582234465531919176798,62032644.1564184672,stg.procore.com,/certification,6189,100,testid-1234567890,Customer/Collaborator,,,,,,,,,,,,,,,1,1,1,1,279,77,1475,4,1774,1,1,1,1,1,1,,,,,,,,,,,,,,,,
https://stg.procore.com/construction-financials,procoredev,200,stg.procore.com|US|Product|Construction Financials|Overview,Product|Construction Financials|Overview,stg.procore.com,Before Unload,2019-07-26T16:45:11.897-07:00,5679446295,44173911486378153582234465531919176798,62032644.1564184672,stg.procore.com,/construction-financials,5815,100,testid-1234567890,Customer/Collaborator,,,,,,,,,,,,,,,1,1,1,1,324,70,924,6,1328,1,1,1,1,1,1,,,,,,,,,,,,,,,,
https://stg.procore.com/construction-financials/accounting-integrations,procoredev,200,stg.procore.com|US|Product|Construction Financials|Accounting Integrations,Product|Construction Financials|Accounting Integrations,stg.procore.com,Before Unload,2019-07-26T16:45:13.605-07:00,2868344397,44173911486378153582234465531919176798,62032644.1564184672,stg.procore.com,/construction-financials/accounting-integrations,9449,100,testid-1234567890,Customer/Collaborator,,,,,,,,,,,,,,,1,1,1,1,290,76,853,6,1194,1,1,1,1,1,1,,,,,,,,,,,,,,,,
