Test URL (url),Report Suite (rs),Status Code (status),Page Name (pageName),Site Section (ch),Server (server),Hit Type (v1),Timestamp (v2),Pageview ID (v3),Adobe Analytics ID (v5),Google Analytics ID (v6),Page Domain (v14),Page Path (v15),Procore ID (v35),Procore User Type (v36),Form ID (v50),Form View (event46)
https://stg.procore.com/?utm_medium=Social&utm_source=LinkedIn&utm_campaign=BRD&utm_term=Organic&utm_content=Jobsite_Constructions-up-and-coming-tech,procorestaging,200,stg.procore.com|US|Home,Home,stg.procore.com,Form Viewed Event,2019-07-31T22:10:15.200-07:00,6083392352,45308589624881343011519527256482478410,2063372176.1564636212,stg.procore.com,/,testid-1234567890,Customer/Collaborator,1295,1
https://stg.procore.com/demo,procorestaging,200,stg.procore.com|US|Marketing|Demo,Marketing|Demo,stg.procore.com,Form Viewed Event,2019-07-31T22:10:56.211-07:00,7953501433,45308589624881343011519527256482478410,2063372176.1564636212,stg.procore.com,/demo,testid-1234567890,Customer/Collaborator,4876,1
https://stg.procore.com/en-au,procorestaging,200,stg.procore.com|AU|Home,Home,stg.procore.com,Form Viewed Event,2019-07-31T22:11:14.984-07:00,8584838515,45308589624881343011519527256482478410,2063372176.1564636212,stg.procore.com,/en-au,testid-1234567890,Customer/Collaborator,1295,1
https://stg.procore.com/demo,procorestaging,200,stg.procore.com|US|Marketing|Demo,Marketing|Demo,stg.procore.com,Form Viewed Event,2019-07-31T22:11:23.884-07:00,9831404640,45308589624881343011519527256482478410,2063372176.1564636212,stg.procore.com,/demo,testid-1234567890,Customer/Collaborator,4876,1
https://stg.procore.com/demo,procorestaging,200,stg.procore.com|US|Marketing|Demo,Marketing|Demo,stg.procore.com,Form Viewed Event,2019-07-31T22:11:44.19-07:00,4601597923,45308589624881343011519527256482478410,2063372176.1564636212,stg.procore.com,/demo,testid-1234567890,Customer/Collaborator,4876,1
https://stg.procore.com/demo,procorestaging,200,stg.procore.com|US|Marketing|Demo,Marketing|Demo,stg.procore.com,Form Viewed Event,2019-07-31T22:11:58.385-07:00,1958152973,45308589624881343011519527256482478410,2063372176.1564636212,stg.procore.com,/demo,testid-1234567890,Customer/Collaborator,4876,1
https://stg.procore.com/demo,procorestaging,200,stg.procore.com|US|Marketing|Demo,Marketing|Demo,stg.procore.com,Form Viewed Event,2019-07-31T22:12:13.803-07:00,8816545939,45308589624881343011519527256482478410,2063372176.1564636212,stg.procore.com,/demo,testid-1234567890,Customer/Collaborator,4876,1
https://stg.procore.com/en-au/demo?utm_medium=Social&utm_source=LinkedIn&utm_campaign=BRD&utm_term=Organic&utm_content=Jobsite_Constructions-up-and-coming-tech,procorestaging,200,stg.procore.com|AU|Marketing|Demo,Marketing|Demo,stg.procore.com,Form Viewed Event,2019-07-31T22:12:20.373-07:00,6322267732,45308589624881343011519527256482478410,2063372176.1564636212,stg.procore.com,/en-au/demo,testid-1234567890,Customer/Collaborator,1295,1
https://stg.procore.com/en-au/events,procorestaging,200,stg.procore.com|AU|Event|Industry Events,Event|Industry Events,stg.procore.com,Form Viewed Event,2019-07-31T22:12:34.324-07:00,3706272319,45308589624881343011519527256482478410,2063372176.1564636212,stg.procore.com,/en-au/events,testid-1234567890,Customer/Collaborator,1295,1
https://stg.procore.com/demo,procorestaging,200,stg.procore.com|US|Marketing|Demo,Marketing|Demo,stg.procore.com,Form Viewed Event,2019-07-31T22:12:52.336-07:00,4291838836,45308589624881343011519527256482478410,2063372176.1564636212,stg.procore.com,/demo,testid-1234567890,Customer/Collaborator,4876,1
https://stg.procore.com/en-au/jobs/openings,procorestaging,200,stg.procore.com|AU|Company|Jobs|Openings,Company|Jobs|Openings,stg.procore.com,Form Viewed Event,2019-07-31T22:13:14.363-07:00,6982741069,45308589624881343011519527256482478410,2063372176.1564636212,stg.procore.com,/en-au/jobs/openings,testid-1234567890,Customer/Collaborator,1295,1
https://stg.procore.com/demo,procorestaging,200,stg.procore.com|US|Marketing|Demo,Marketing|Demo,stg.procore.com,Form Viewed Event,2019-07-31T22:13:37.900-07:00,4264703207,45308589624881343011519527256482478410,2063372176.1564636212,stg.procore.com,/demo,testid-1234567890,Customer/Collaborator,4876,1
https://stg.procore.com/en-au/partners,procorestaging,200,stg.procore.com|AU|Resource|Partners,Resource|Partners,stg.procore.com,Form Viewed Event,2019-07-31T22:13:43.927-07:00,6411177478,45308589624881343011519527256482478410,2063372176.1564636212,stg.procore.com,/en-au/partners,testid-1234567890,Customer/Collaborator,1295,1
https://stg.procore.com/en-au/press,procorestaging,200,stg.procore.com|AU|Company|Press|Overview,Company|Press|Overview,stg.procore.com,Form Viewed Event,2019-07-31T22:13:52.472-07:00,6927511616,45308589624881343011519527256482478410,2063372176.1564636212,stg.procore.com,/en-au/press,testid-1234567890,Customer/Collaborator,1295,1
