Test URL (url),Report Suite (rs),Status Code (status),Page Name (pageName),Site Section (ch),Server (server),Hit Type (v1),Timestamp (v2),Pageview ID (v3),Adobe Analytics ID (v5),Google Analytics ID (v6),Page Domain (v14),Page Path (v15),Procore ID (v35),Procore User Type (v36),Click Type (v46),Click Name (v47),Click Label (v48),Click Count (v49),Click Count (event19)
https://stg.procore.com/?utm_medium=Social&utm_source=LinkedIn&utm_campaign=BRD&utm_term=Organic&utm_content=Jobsite_Constructions-up-and-coming-tech,procorestaging,200,stg.procore.com|US|Home,Home,stg.procore.com,Click Event,2019-07-31T22:10:14.842-07:00,6083392352,45308589624881343011519527256482478410,2063372176.1564636212,stg.procore.com,/,testid-1234567890,Customer/Collaborator,test type,test name,test label,+1,1
https://stg.procore.com/en-au,procorestaging,200,stg.procore.com|AU|Home,Home,stg.procore.com,Click Event,2019-07-31T22:11:14.546-07:00,8584838515,45308589624881343011519527256482478410,2063372176.1564636212,stg.procore.com,/en-au,testid-1234567890,Customer/Collaborator,test type,test name,test label,+1,1
https://stg.procore.com/en-au/demo?utm_medium=Social&utm_source=LinkedIn&utm_campaign=BRD&utm_term=Organic&utm_content=Jobsite_Constructions-up-and-coming-tech,procorestaging,200,stg.procore.com|AU|Marketing|Demo,Marketing|Demo,stg.procore.com,Click Event,2019-07-31T22:12:20.63-07:00,6322267732,45308589624881343011519527256482478410,2063372176.1564636212,stg.procore.com,/en-au/demo,testid-1234567890,Customer/Collaborator,test type,test name,test label,+1,1
https://stg.procore.com/en-au/jobs/openings,procorestaging,200,stg.procore.com|AU|Company|Jobs|Openings,Company|Jobs|Openings,stg.procore.com,Click Event,2019-07-31T22:13:13.967-07:00,6982741069,45308589624881343011519527256482478410,2063372176.1564636212,stg.procore.com,/en-au/jobs/openings,testid-1234567890,Customer/Collaborator,test type,test name,test label,+1,1
https://stg.procore.com/en-au/legal/api-terms-and-conditions,procorestaging,200,stg.procore.com|AU|Company|Legal|Api Terms And Conditions,Company|Legal|Api Terms And Conditions,stg.procore.com,Click Event,2019-07-31T22:13:32.380-07:00,6915977403,45308589624881343011519527256482478410,2063372176.1564636212,stg.procore.com,/en-au/legal/api-terms-and-conditions,testid-1234567890,Customer/Collaborator,test type,test name,test label,+1,1
https://stg.procore.com/en-au/partners,procorestaging,200,stg.procore.com|AU|Resource|Partners,Resource|Partners,stg.procore.com,Click Event,2019-07-31T22:13:43.381-07:00,6411177478,45308589624881343011519527256482478410,2063372176.1564636212,stg.procore.com,/en-au/partners,testid-1234567890,Customer/Collaborator,test type,test name,test label,+1,1
https://stg.procore.com/en-au/press,procorestaging,200,stg.procore.com|AU|Company|Press|Overview,Company|Press|Overview,stg.procore.com,Click Event,2019-07-31T22:13:52.99-07:00,6927511616,45308589624881343011519527256482478410,2063372176.1564636212,stg.procore.com,/en-au/press,testid-1234567890,Customer/Collaborator,test type,test name,test label,+1,1
https://stg.procore.com/en-au/projects,procorestaging,200,stg.procore.com|AU|Resource|Projects,Resource|Projects,stg.procore.com,Click Event,2019-07-31T22:14:10.721-07:00,7389583424,45308589624881343011519527256482478410,2063372176.1564636212,stg.procore.com,/en-au/projects,testid-1234567890,Customer/Collaborator,test type,test name,test label,+1,1
https://stg.procore.com/en-au/workshops,procorestaging,200,stg.procore.com|AU|Event|Workshops,Event|Workshops,stg.procore.com,Click Event,2019-07-31T22:14:42.830-07:00,5560894992,45308589624881343011519527256482478410,2063372176.1564636212,stg.procore.com,/en-au/workshops,testid-1234567890,Customer/Collaborator,test type,test name,test label,+1,1
https://stg.procore.com/en-ca,procorestaging,200,stg.procore.com|CA|Home,Home,stg.procore.com,Click Event,2019-07-31T22:15:14.883-07:00,4472351670,45308589624881343011519527256482478410,2063372176.1564636212,stg.procore.com,/en-ca,testid-1234567890,Customer/Collaborator,test type,test name,test label,+1,1
