Test URL (url),Report Suite (rs),Status Code (status),Page Name (pageName),Site Section (ch),Server (server),Hit Type (v1),Timestamp (v2),Pageview ID (v3),Adobe Analytics ID (v5),Google Analytics ID (v6),Page Domain (v14),Page Path (v15),Page Height (v19),Page Percent Viewed (v20),Procore ID (v35),Procore User Type (v36),Tab Focus Count (v41),Form ID (v50),Form Inputs (v51),Form Input Count (v52),form Input Selected Count (v53),Chat Online (v55),Chat Team Available (v56),Chat Visible (v57),Chat Covnersation ID (v58),Chat Playbook ID (v59),Chat Campaign ID (v60),Form Errors (c14),Form Inputs (c15),Form Interaction Path (c16),Redirect Timing (event1),App cache Timing (event2),DNS Timing (event3),TCP Timing (event4),Request Timing (event5),Response Timing (event6),Processing Timing (event7),On Load Timing (event8),Page Load Timing (event9),Page Scrolled 10% (event10),Page Scrolled 25% (event11),Page Scrolled 50% (event12),Page Scrolled 75% (event13),Page Scrolled 95% (event14),Page Scrolled 100% (event15),Tab Click (event17),Form Start (event20),Form Complete (event21),Form Error Count (event22),Form Selected Count (event23),Sidebar Opened (event34),Sidebar Closed (event35),Playbook Clicked (event36),Playbook Dismissed (event37),Conversation Started (event38),Message Sent (event39),Message Receieved (event40),Email Captured (event41),Phone Captured (event42),Meeting Requested (event43),Meeting Booked (event44)
https://stg.procore.com/,procoredev,200,stg.procore.com|US|Home,Home,stg.procore.com,Before Unload,2019-07-26T17:27:44.121-07:00,5555430614,32597373175802761010273197348691471344,713006824.1564187253,stg.procore.com,/,7690,100,testid-1234567890,Customer/Collaborator,,,,,,Online,Available,Visible,934087646,446297,487584,,,,10,38,1,23,235,62,2865,12,3197,1,1,1,1,1,1,,,,,,1,1,1,,,1,4,,,,
https://stg.procore.com/?test=query,procoredev,200,stg.procore.com|US|Home,Home,stg.procore.com,Before Unload,2019-07-26T17:27:46.537-07:00,6365482863,32597373175802761010273197348691471344,713006824.1564187253,stg.procore.com,/,7680,100,testid-1234567890,Customer/Collaborator,,,,,,Online,Available,Visible,,,,,,,1,1,1,1,536,48,954,7,1514,1,1,1,1,1,1,,,,,,,,,,,,,,,,
https://stg.procore.com/?test=query-with-frag,procoredev,200,stg.procore.com|US|Home,Home,stg.procore.com,Before Unload,2019-07-26T17:27:49.266-07:00,9753723756,32597373175802761010273197348691471344,713006824.1564187253,stg.procore.com,/,7680,100,testid-1234567890,Customer/Collaborator,,,,,,Online,Available,Visible,,,,,,,1,1,1,1,486,84,1503,7,2014,1,1,1,1,1,1,,,,,,,,,,,,,,,,
https://stg.procore.com/?utm_medium=Social&utm_source=LinkedIn&utm_campaign=BRD&utm_term=Organic&utm_content=Jobsite_Constructions-up-and-coming-tech,procoredev,200,stg.procore.com|US|Home,Home,stg.procore.com,Before Unload,2019-07-26T17:27:51.943-07:00,4685494142,32597373175802761010273197348691471344,713006824.1564187253,stg.procore.com,/,7652,8,testid-1234567890,Customer/Collaborator,,,,,,Online,Available,Visible,,,,,,,1,1,1,1,654,76,1478,9,2155,,,,,,,,,,,,,,,,,,,,,,
https://stg.procore.com/about,procoredev,200,stg.procore.com|US|Company|About,Company|About,stg.procore.com,Before Unload,2019-07-26T17:27:53.836-07:00,5260458266,32597373175802761010273197348691471344,713006824.1564187253,stg.procore.com,/about,7170,8,testid-1234567890,Customer/Collaborator,,,,,,,,,,,,,,,1,1,1,1,304,75,1425,4,1749,,,,,,,,,,,,,,,,,,,,,,
https://stg.procore.com/blueprint,procoredev,200,stg.procore.com|US|Resource|Blueprint,Resource|Blueprint,stg.procore.com,Before Unload,2019-07-26T17:27:56.366-07:00,7476277028,32597373175802761010273197348691471344,713006824.1564187253,stg.procore.com,/blueprint,7571,8,testid-1234567890,Customer/Collaborator,,,,,,Online,Available,Visible,,,,,,,1,1,1,1,284,74,1787,11,2126,,,,,,,,,,,,,,,,,,,,,,
https://stg.procore.com/buildersclub,procoredev,200,stg.procore.com|US|Resource|Builders Club,Resource|Builders Club,stg.procore.com,Before Unload,2019-07-26T17:27:59.126-07:00,9495294523,32597373175802761010273197348691471344,713006824.1564187253,stg.procore.com,/buildersclub,3945,15,testid-1234567890,Customer/Collaborator,,,,,,Online,Available,Visible,,,,,,,1,1,1,1,136,1,2150,8,2311,1,,,,,,,,,,,,,,,,,,,,,
https://stg.procore.com/certification,procoredev,200,stg.procore.com|US|Resource|Certification,Resource|Certification,stg.procore.com,Before Unload,2019-07-26T17:28:01.61-07:00,4708946813,32597373175802761010273197348691471344,713006824.1564187253,stg.procore.com,/certification,6161,10,testid-1234567890,Customer/Collaborator,,,,,,,,,,,,,,,1,1,1,1,298,98,1472,4,1789,1,,,,,,,,,,,,,,,,,,,,,
https://stg.procore.com/construction-financials,procoredev,200,stg.procore.com|US|Product|Construction Financials|Overview,Product|Construction Financials|Overview,stg.procore.com,Before Unload,2019-07-26T17:28:02.370-07:00,2803711435,32597373175802761010273197348691471344,713006824.1564187253,stg.procore.com,/construction-financials,5788,10,testid-1234567890,Customer/Collaborator,,,,,,,,,,,,,,,1,1,1,1,286,78,783,6,1115,1,,,,,,,,,,,,,,,,,,,,,
https://stg.procore.com/construction-financials/accounting-integrations,procoredev,200,stg.procore.com|US|Product|Construction Financials|Accounting Integrations,Product|Construction Financials|Accounting Integrations,stg.procore.com,Before Unload,2019-07-26T17:28:04.477-07:00,5137732370,32597373175802761010273197348691471344,713006824.1564187253,stg.procore.com,/construction-financials/accounting-integrations,9421,6,testid-1234567890,Customer/Collaborator,,,,,,,,,,,,,,,1,1,1,1,276,78,1629,4,1960,,,,,,,,,,,,,,,,,,,,,,
