Test URL (url),Report Suite (rs),Status Code (status),Page Name (pageName),Site Section (ch),Server (server),Hit Type (v1),Timestamp (v2),Pageview ID (v3),Adobe Analytics ID (v5),Google Analytics ID (v6),Page Domain (v14),Page Path (v15),Procore ID (v35),Procore User Type (v36),Event Type (v42),Event Name (v43),Event Label (v44),Event Count (v45),Custom Event Count (event18)
https://stg.procore.com/,procoredev,200,stg.procore.com|US|Home,Home,stg.procore.com,Custom Event,2019-07-26T17:27:35.243-07:00,5555430614,32597373175802761010273197348691471344,713006824.1564187253,stg.procore.com,/,testid-1234567890,Customer/Collaborator,test type,test name,test label,+1,1
https://stg.procore.com/,procoredev,200,stg.procore.com|US|Home,Home,stg.procore.com,Custom Event,2019-07-26T17:27:43.876-07:00,5555430614,32597373175802761010273197348691471344,713006824.1564187253,stg.procore.com,/,testid-1234567890,Customer/Collaborator,test type,test name,test label,+1,1
https://stg.procore.com/?test=query,procoredev,200,stg.procore.com|US|Home,Home,stg.procore.com,Custom Event,2019-07-26T17:27:46.415-07:00,6365482863,32597373175802761010273197348691471344,713006824.1564187253,stg.procore.com,/,testid-1234567890,Customer/Collaborator,test type,test name,test label,+1,1
https://stg.procore.com/?test=query-with-frag,procoredev,200,stg.procore.com|US|Home,Home,stg.procore.com,Custom Event,2019-07-26T17:27:49.143-07:00,9753723756,32597373175802761010273197348691471344,713006824.1564187253,stg.procore.com,/,testid-1234567890,Customer/Collaborator,test type,test name,test label,+1,1
https://stg.procore.com/?utm_medium=Social&utm_source=LinkedIn&utm_campaign=BRD&utm_term=Organic&utm_content=Jobsite_Constructions-up-and-coming-tech,procoredev,200,stg.procore.com|US|Home,Home,stg.procore.com,Custom Event,2019-07-26T17:27:51.830-07:00,4685494142,32597373175802761010273197348691471344,713006824.1564187253,stg.procore.com,/,testid-1234567890,Customer/Collaborator,test type,test name,test label,+1,1
https://stg.procore.com/about,procoredev,200,stg.procore.com|US|Company|About,Company|About,stg.procore.com,Custom Event,2019-07-26T17:27:53.723-07:00,5260458266,32597373175802761010273197348691471344,713006824.1564187253,stg.procore.com,/about,testid-1234567890,Customer/Collaborator,test type,test name,test label,+1,1
https://stg.procore.com/blueprint,procoredev,200,stg.procore.com|US|Resource|Blueprint,Resource|Blueprint,stg.procore.com,Custom Event,2019-07-26T17:27:56.250-07:00,7476277028,32597373175802761010273197348691471344,713006824.1564187253,stg.procore.com,/blueprint,testid-1234567890,Customer/Collaborator,test type,test name,test label,+1,1
https://stg.procore.com/buildersclub,procoredev,200,stg.procore.com|US|Resource|Builders Club,Resource|Builders Club,stg.procore.com,Custom Event,2019-07-26T17:27:59.15-07:00,9495294523,32597373175802761010273197348691471344,713006824.1564187253,stg.procore.com,/buildersclub,testid-1234567890,Customer/Collaborator,test type,test name,test label,+1,1
https://stg.procore.com/certification,procoredev,200,stg.procore.com|US|Resource|Certification,Resource|Certification,stg.procore.com,Custom Event,2019-07-26T17:28:00.948-07:00,4708946813,32597373175802761010273197348691471344,713006824.1564187253,stg.procore.com,/certification,testid-1234567890,Customer/Collaborator,test type,test name,test label,+1,1
https://stg.procore.com/construction-financials,procoredev,200,stg.procore.com|US|Product|Construction Financials|Overview,Product|Construction Financials|Overview,stg.procore.com,Custom Event,2019-07-26T17:28:02.260-07:00,2803711435,32597373175802761010273197348691471344,713006824.1564187253,stg.procore.com,/construction-financials,testid-1234567890,Customer/Collaborator,test type,test name,test label,+1,1
