Test URL (url),Report Suite (rs),Status Code (status),Page Name (pageName),Site Section (ch),Server (server),Hit Type (v1),Timestamp (v2),Pageview ID (v3),Adobe Analytics ID (v5),Google Analytics ID (v6),Page Protocol (v13),Page Domain (v14),Page Path (v15),Page Query String (v16),Page Fragment (v17),Page Height (v19),Page Percent Viewed (v20),Procore ID (v35),Procore User Type (v36),Tab Focus Count (v41),Form ID (v50),Form Inputs (v51),Form Input Count (v52),Form Selected Count (v53),Chat Online (v55),Chat Team Available (v56),Chat Visible (v57),Chat Covnersation ID (v58),Chat Playbook ID (v59),Chat Campaign ID (v60),Form Errors (c14),Form Interaction Path (c16),Forms On Page (c17),Redirect Timing (event1),App cache Timing (event2),DNS Timing (event3),TCP Timing (event4),Request Timing (event5),Response Timing (event6),Processing Timing (event7),On Load Timing (event8),Page Load Timing (event9),Page Scrolled 10% (event10),Page Scrolled 25% (event11),Page Scrolled 50% (event12),Page Scrolled 75% (event13),Page Scrolled 95% (event14),Page Scrolled 100% (event15),Tab Click (event17),Form Start (event20),Form Complete (event21),Form Error Count (event22),Form Selected Count (event23),Sidebar Opened (event34),Sidebar Closed (event35),Playbook Clicked (event36),Playbook Dismissed (event37),Conversation Started (event38),Message Sent (event39),Message Receieved (event40),Email Captured (event41),Phone Captured (event42),Meeting Requested (event43),Meeting Booked (event44),Forms On Page (event45)
https://www.procore.com/,procoreprod2,200,www.procore.com|US|Home,Home,www.procore.com,Before Unload,2020-04-14T15:44:38.871-07:00,3510260651,78655722977877036440907631690040238295,1102686481.1586904272,https:,www.procore.com,/,,,8571,100,testid-1234567890,Customer/Collaborator,,,,,,Offline,Available,Visible,,,,,,,6,43,1,71,295,61,3785,132,4349,1,1,1,1,1,1,,,,,,,,,,,,,,,,,
https://www.procore.com/demo,procoreprod2,200,www.procore.com|US|Landing Page|Demo,Landing Page|Demo,www.procore.com,Before Unload,2020-04-14T15:44:44.276-07:00,6687550975,78655722977877036440907631690040238295,1102686481.1586904272,https:,www.procore.com,/demo,,,2982,53,testid-1234567890,Customer/Collaborator,,4876,FirstName|LastName|Email|Company|Routing_Company_Type__c|Phone,6,+6,Offline,Available,Visible,,,,Email,FirstName|LastName|Phone|Company|mktoButton|Email|submit,4876,2,1,1,1,285,2,1675,14,1999,1,1,1,,,,,1,,1,6,,,,,,,,,,,,1
https://www.procore.com/about,procoreprod2,200,www.procore.com|US|Company|About,Company|About,www.procore.com,Before Unload,2020-04-14T15:44:46.635-07:00,8430703439,78655722977877036440907631690040238295,1102686481.1586904272,https:,www.procore.com,/about,,,7408,100,testid-1234567890,Customer/Collaborator,,,,,,,,,,,,,,,1,1,1,1,146,2,1830,14,2008,1,1,1,1,1,1,,,,,,,,,,,,,,,,,
https://www.procore.com/demo,procoreprod2,200,www.procore.com|US|Landing Page|Demo,Landing Page|Demo,www.procore.com,Before Unload,2020-04-14T15:44:52.621-07:00,8107125466,78655722977877036440907631690040238295,1102686481.1586904272,https:,www.procore.com,/demo,,,3033,53,testid-1234567890,Customer/Collaborator,,4876,FirstName|LastName|Email|Company|Routing_Company_Type__c|Phone,6,+7,Offline,Available,Visible,,,,Email,FirstName|LastName|Phone|Company|mktoButton|Email|Email|submit,4876,2,1,1,1,137,1,1774,49,1980,1,1,1,,,,,1,,1,7,,,,,,,,,,,,1
https://www.procore.com/demo,procoreprod2,200,www.procore.com|US|Landing Page|Demo,Landing Page|Demo,www.procore.com,Before Unload,2020-04-14T15:45:00.344-07:00,3857852001,78655722977877036440907631690040238295,1102686481.1586904272,https:,www.procore.com,/demo,,,3033,53,testid-1234567890,Customer/Collaborator,,4876,FirstName|LastName|Email|Company|Routing_Company_Type__c|Phone,6,+7,Offline,Available,Visible,,,,Email,FirstName|LastName|Phone|Company|mktoButton|Email|Email|submit,4876,1,1,1,1,255,1,1797,26,2099,1,1,1,,,,,1,,1,7,,,,,,,,,,,,1
https://www.procore.com/buildersclub,procoreprod2,200,www.procore.com|US|Resource|Builders Club,Resource|Builders Club,www.procore.com,Before Unload,2020-04-14T15:45:02.850-07:00,1647076328,78655722977877036440907631690040238295,1102686481.1586904272,https:,www.procore.com,/buildersclub,,,4048,100,testid-1234567890,Customer/Collaborator,,,,,,Offline,Available,Visible,,,,,,,2,1,1,1,143,1,1481,18,1667,1,1,1,1,1,1,,,,,,,,,,,,,,,,,
https://www.procore.com/certification,procoreprod2,200,www.procore.com|US|Resource|Certification,Resource|Certification,www.procore.com,Before Unload,2020-04-14T15:45:04.757-07:00,5406194114,78655722977877036440907631690040238295,1102686481.1586904272,https:,www.procore.com,/certification,,,6149,100,testid-1234567890,Customer/Collaborator,,,,,,,,,,,,,,,1,1,1,1,288,1,1203,15,1526,1,1,1,1,1,1,,,,,,,,,,,,,,,,,
https://www.procore.com/demo,procoreprod2,200,www.procore.com|US|Landing Page|Demo,Landing Page|Demo,www.procore.com,Before Unload,2020-04-14T15:45:18.745-07:00,5212717548,78655722977877036440907631690040238295,1102686481.1586904272,https:,www.procore.com,/demo,,,2999,53,testid-1234567890,Customer/Collaborator,,,,,,Offline,Available,Visible,,,,,,4876,1,1,1,1,141,1,9100,29,9302,1,1,1,,,,,,,,,,,,,,,,,,,,1
https://www.procore.com/project-financials,procoreprod2,200,www.procore.com|US|Product|Project Financials|Overview,Product|Project Financials|Overview,www.procore.com,Before Unload,2020-04-14T15:45:40.247-07:00,1667196917,78655722977877036440907631690040238295,1102686481.1586904272,https:,www.procore.com,/project-financials,,,7801,100,testid-1234567890,Customer/Collaborator,,,,,,,,,,,,,,5647,183,1,1,1,176,2,5690,41,6103,1,1,1,1,1,1,,,,,,,,,,,,,,,,,1
https://www.procore.com/accounting-integrations,procoreprod2,200,www.procore.com|US|Product|Accounting Integrations|Overview,Product|Accounting Integrations|Overview,www.procore.com,Before Unload,2020-04-14T15:45:50.305-07:00,8294973892,78655722977877036440907631690040238295,1102686481.1586904272,https:,www.procore.com,/accounting-integrations,,,12488,100,testid-1234567890,Customer/Collaborator,,,,,,,,,,,,,,5647,173,1,1,1,137,2,9163,32,9591,1,1,1,1,1,1,,,,,,,,,,,,,,,,,1
