Test URL (url),Report Suite (rs),Status Code (status),Page Name (pageName),Site Section (ch),Server (server),Hit Type (v1),Timestamp (v2),Pageview ID (v3),Adobe Analytics ID (v5),Google Analytics ID (v6),Page Protocol (v13),Page Domain (v14),Page Path (v15),Page Query String (v16),Page Fragment (v17),Procore ID (v35),Procore User Type (v36),Click Type (v46),Click Name (v47),Click Label (v48),Click Count (v49),Click Count (event19)
https://www.procore.com/,procoreprod2,200,www.procore.com|US|Home,Home,www.procore.com,Click Event,2020-04-14T15:44:38.556-07:00,3510260651,78655722977877036440907631690040238295,1102686481.1586904272,https:,www.procore.com,/,,,testid-1234567890,Customer/Collaborator,test type,test name,test label,+1,1
https://www.procore.com/about,procoreprod2,200,www.procore.com|US|Company|About,Company|About,www.procore.com,Click Event,2020-04-14T15:44:46.355-07:00,8430703439,78655722977877036440907631690040238295,1102686481.1586904272,https:,www.procore.com,/about,,,testid-1234567890,Customer/Collaborator,test type,test name,test label,+1,1
https://www.procore.com/buildersclub,procoreprod2,200,www.procore.com|US|Resource|Builders Club,Resource|Builders Club,www.procore.com,Click Event,2020-04-14T15:45:02.539-07:00,1647076328,78655722977877036440907631690040238295,1102686481.1586904272,https:,www.procore.com,/buildersclub,,,testid-1234567890,Customer/Collaborator,test type,test name,test label,+1,1
https://www.procore.com/certification,procoreprod2,200,www.procore.com|US|Resource|Certification,Resource|Certification,www.procore.com,Click Event,2020-04-14T15:45:04.499-07:00,5406194114,78655722977877036440907631690040238295,1102686481.1586904272,https:,www.procore.com,/certification,,,testid-1234567890,Customer/Collaborator,test type,test name,test label,+1,1
https://www.procore.com/project-financials,procoreprod2,200,www.procore.com|US|Product|Project Financials|Overview,Product|Project Financials|Overview,www.procore.com,Click Event,2020-04-14T15:45:39.976-07:00,1667196917,78655722977877036440907631690040238295,1102686481.1586904272,https:,www.procore.com,/project-financials,,,testid-1234567890,Customer/Collaborator,test type,test name,test label,+1,1
https://www.procore.com/accounting-integrations,procoreprod2,200,www.procore.com|US|Product|Accounting Integrations|Overview,Product|Accounting Integrations|Overview,www.procore.com,Click Event,2020-04-14T15:45:50.29-07:00,8294973892,78655722977877036440907631690040238295,1102686481.1586904272,https:,www.procore.com,/accounting-integrations,,,testid-1234567890,Customer/Collaborator,test type,test name,test label,+1,1
https://www.procore.com/continuing-education,procoreprod2,200,www.procore.com|US|Resource|Continuing Education,Resource|Continuing Education,www.procore.com,Click Event,2020-04-14T15:45:55.126-07:00,5927874325,78655722977877036440907631690040238295,1102686481.1586904272,https:,www.procore.com,/continuing-education,,,testid-1234567890,Customer/Collaborator,test type,test name,test label,+1,1
https://www.procore.com/en-au/continuing-education,procoreprod2,200,www.procore.com|AU|Resource|Continuing Education,Resource|Continuing Education,www.procore.com,Click Event,2020-04-14T15:47:15.618-07:00,9623933083,78655722977877036440907631690040238295,1102686481.1586904272,https:,www.procore.com,/en-au/continuing-education,,,testid-1234567890,Customer/Collaborator,test type,test name,test label,+1,1
https://www.procore.com/en-au/field-productivity,procoreprod2,200,www.procore.com|AU|Product|Field Productivity|Overview,Product|Field Productivity|Overview,www.procore.com,Click Event,2020-04-14T15:47:38.991-07:00,1841324810,78655722977877036440907631690040238295,1102686481.1586904272,https:,www.procore.com,/en-au/field-productivity,,,testid-1234567890,Customer/Collaborator,test type,test name,test label,+1,1
https://www.procore.com/en-au/jobs,procoreprod2,200,www.procore.com|AU|Company|Jobs,Company|Jobs,www.procore.com,Click Event,2020-04-14T15:47:47.473-07:00,3042065162,78655722977877036440907631690040238295,1102686481.1586904272,https:,www.procore.com,/en-au/jobs,,,testid-1234567890,Customer/Collaborator,test type,test name,test label,+1,1
